sku_id,product_name,category,color,size,supplier_id,cost_price,mrp,units_purchased,units_sold_total,units_on_hand,stock_remaining_pct,sell_through_rate,last_sale_date,days_since_last_sale,velocity_overall,units_sold_last_4w,weeks_of_stock,bleed_score,margin_at_risk,status,top_channel,action,recommended_discount_pct,reason,markdown_price,projected_recovery,est_revenue_if_actioned,urgency_rank
SKU-0215,Ikat Coord Set (Linen),Coord Set,Teal,S,SUP-003,565,1734,144,16,128,0.889,0.111,2024-08-20,103,0.64,0.0,999.0,91.57,149632,Critical,Online - Instagram,Urgent markdown,35,No sale in 103 days with 89% stock remaining. Margin eroding rapidly. Act before season ends.,1127,101750,115405,1
SKU-0402,Bandhani Dress (Cotton),Dress,Sage green,XS,SUP-005,746,1641,30,3,27,0.9,0.1,2024-08-25,98,0.14,0.0,999.0,88.2,24165,Critical,Online - Nykaa,Urgent markdown,30,No sale in 98 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,1149,16432,24818,1
SKU-0150,Dabu print Saree (Linen),Saree,Mauve,M,SUP-009,1976,3822,60,9,51,0.85,0.15,2024-08-21,102,0.48,0.0,999.0,86.7,94146,Critical,Online - Nykaa,Urgent markdown,35,No sale in 102 days with 85% stock remaining. Margin eroding rapidly. Act before season ends.,2484,64019,101347,1
SKU-0185,Chikankari Saree (Georgette),Saree,Indigo,L,SUP-002,1162,5708,107,15,92,0.86,0.14,2024-08-24,99,0.61,0.0,999.0,85.14,418232,Critical,Online - Instagram,Urgent markdown,35,No sale in 99 days with 86% stock remaining. Margin eroding rapidly. Act before season ends.,3710,284398,273056,1
SKU-0453,Bandhani Palazzo (Rayon),Palazzo,Teal,S,SUP-008,275,831,34,4,30,0.882,0.118,2024-08-27,96,0.22,0.0,999.0,84.67,16680,Critical,Online - Nykaa,Urgent markdown,25,No sale in 96 days with 88% stock remaining. Margin eroding rapidly. Act before season ends.,623,11342,14952,1
SKU-0420,Ikat Dress (Georgette),Dress,Indigo,XS,SUP-009,432,1309,67,5,62,0.925,0.075,2024-09-02,90,0.23,0.0,999.0,83.25,54374,Critical,Online - Website,Urgent markdown,30,No sale in 90 days with 92% stock remaining. Margin eroding rapidly. Act before season ends.,916,36974,45434,1
SKU-0219,Shibori Coord Set (Cotton),Coord Set,Indigo,M,SUP-005,825,2568,34,3,31,0.912,0.088,2024-09-01,91,0.15,0.0,999.0,82.99,54033,Critical,Store - MG Road,Urgent markdown,35,No sale in 91 days with 91% stock remaining. Margin eroding rapidly. Act before season ends.,1669,36742,41391,1
SKU-0079,Mirror work Kurta (Georgette),Kurta,Ivory,XS,SUP-001,569,990,146,16,130,0.89,0.11,2024-08-30,93,0.67,0.0,999.0,82.77,54730,Critical,Store - MG Road,Urgent markdown,30,No sale in 93 days with 89% stock remaining. Margin eroding rapidly. Act before season ends.,693,37216,72072,1
SKU-0357,Mirror work Dupatta (Cotton),Dupatta,Blush pink,XL,SUP-001,224,474,77,8,69,0.896,0.104,2024-08-31,92,0.46,0.0,999.0,82.43,17250,Critical,Online - Instagram,Urgent markdown,25,No sale in 92 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,356,11730,19651,1
SKU-0500,Ikat Palazzo (Silk blend),Palazzo,Rust,L,SUP-005,220,791,30,5,25,0.833,0.167,2024-08-25,98,0.29,0.0,999.0,81.63,14275,Critical,Online - Website,Urgent markdown,25,No sale in 98 days with 83% stock remaining. Margin eroding rapidly. Act before season ends.,593,9707,11860,1
SKU-0023,Ajrakh Kurta (Chanderi),Kurta,Ochre,XL,SUP-001,430,1648,30,4,26,0.867,0.133,2024-08-30,93,0.22,0.0,999.0,80.63,31668,Critical,Online - Instagram,Urgent markdown,30,No sale in 93 days with 87% stock remaining. Margin eroding rapidly. Act before season ends.,1154,21534,24003,1
SKU-0325,Bagru print Dupatta (Cotton),Dupatta,Rust,M,SUP-009,250,436,114,12,102,0.895,0.105,2024-09-02,90,0.47,0.0,999.0,80.55,18972,Critical,Store - Koramangala,Urgent markdown,25,No sale in 90 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,327,12901,26683,1
SKU-0379,Shibori Dress (Georgette),Dress,Teal,M,SUP-010,607,1294,86,17,69,0.802,0.198,2024-08-24,99,0.7,0.0,999.0,79.4,47403,Critical,Online - Website,Urgent markdown,30,No sale in 99 days with 80% stock remaining. Margin eroding rapidly. Act before season ends.,906,32234,50011,1
SKU-0220,Dabu print Coord Set (Silk blend),Coord Set,Ochre,XXL,SUP-010,663,1700,122,4,118,0.967,0.033,2024-09-11,81,0.17,0.0,999.0,78.33,122366,Critical,Online - Nykaa,Urgent markdown,35,No sale in 81 days with 97% stock remaining. Margin eroding rapidly. Act before season ends.,1105,83209,104312,1
SKU-0236,Block print Coord Set (Mul mul),Coord Set,Terracotta,XL,SUP-003,588,2124,89,13,76,0.854,0.146,2024-09-01,91,0.58,0.0,999.0,77.71,116736,Critical,Store - MG Road,Urgent markdown,35,No sale in 91 days with 85% stock remaining. Margin eroding rapidly. Act before season ends.,1381,79380,83965,1
SKU-0203,Ajrakh Coord Set (Mul mul),Coord Set,Ivory,S,SUP-001,591,2072,62,15,47,0.758,0.242,2024-08-21,102,0.61,0.0,999.0,77.32,69607,Critical,Store - Koramangala,Urgent markdown,35,No sale in 102 days with 76% stock remaining. Margin eroding rapidly. Act before season ends.,1347,47333,50647,1
SKU-0287,Block print Coord Set (Rayon),Coord Set,Sage green,XL,SUP-008,542,1807,87,13,74,0.851,0.149,2024-09-02,90,0.55,0.0,999.0,76.59,93610,Critical,Store - Koramangala,Urgent markdown,35,No sale in 90 days with 85% stock remaining. Margin eroding rapidly. Act before season ends.,1175,63655,69560,1
SKU-0475,Kalamkari Palazzo (Silk blend),Palazzo,Mauve,M,SUP-001,271,673,35,3,32,0.914,0.086,2024-09-09,83,0.17,0.0,999.0,75.86,12864,Critical,Store - MG Road,Urgent markdown,25,No sale in 83 days with 91% stock remaining. Margin eroding rapidly. Act before season ends.,505,8748,12928,1
SKU-0352,Mirror work Dupatta (Georgette),Dupatta,Ochre,XS,SUP-003,207,619,139,14,125,0.899,0.101,2024-09-08,84,0.59,0.0,999.0,75.52,51500,Critical,Store - Koramangala,Urgent markdown,25,No sale in 84 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,464,35020,46400,1
SKU-0072,Bandhani Kurta (Georgette),Kurta,Rust,XL,SUP-002,440,1663,121,4,117,0.967,0.033,2024-09-14,78,0.27,0.0,999.0,75.43,143091,Critical,Online - Instagram,Urgent markdown,30,No sale in 78 days with 97% stock remaining. Margin eroding rapidly. Act before season ends.,1164,97302,108950,1
SKU-0051,Mirror work Kurta (Cotton),Kurta,Blush pink,XL,SUP-005,639,1045,30,6,24,0.8,0.2,2024-08-30,93,0.3,0.0,999.0,74.4,9744,Critical,Online - Instagram,Urgent markdown,30,No sale in 93 days with 80% stock remaining. Margin eroding rapidly. Act before season ends.,732,6626,14054,1
SKU-0468,Chikankari Palazzo (Cotton),Palazzo,Ivory,M,SUP-010,280,625,44,6,38,0.864,0.136,2024-09-09,83,0.34,0.0,999.0,71.71,13110,Critical,Store - Indiranagar,Urgent markdown,25,No sale in 83 days with 86% stock remaining. Margin eroding rapidly. Act before season ends.,469,8915,14258,1
SKU-0479,Bagru print Palazzo (Chanderi),Palazzo,Terracotta,XS,SUP-009,327,1026,37,4,33,0.892,0.108,2024-09-12,80,0.17,0.0,999.0,71.36,23067,Critical,Store - Koramangala,Urgent markdown,25,No sale in 80 days with 89% stock remaining. Margin eroding rapidly. Act before season ends.,770,15686,20328,1
SKU-0206,Shibori Coord Set (Linen),Coord Set,Charcoal,XS,SUP-002,816,2034,105,2,103,0.981,0.019,2024-09-20,72,0.1,0.0,999.0,70.63,125454,Critical,Online - Instagram,Urgent markdown,35,No sale in 72 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,1322,85309,108933,1
SKU-0153,Dabu print Saree (Rayon),Saree,Mauve,M,SUP-008,1492,5563,40,6,34,0.85,0.15,2024-09-09,83,0.33,0.0,999.0,70.55,138414,Critical,Store - Indiranagar,Urgent markdown,35,No sale in 83 days with 85% stock remaining. Margin eroding rapidly. Act before season ends.,3616,94122,98355,1
SKU-0391,Dabu print Dress (Silk blend),Dress,Mauve,XL,SUP-008,671,1203,57,16,41,0.719,0.281,2024-08-25,98,0.68,0.0,999.0,70.46,21812,Critical,Store - Koramangala,Urgent markdown,30,No sale in 98 days with 72% stock remaining. Margin eroding rapidly. Act before season ends.,842,14832,27618,1
SKU-0131,Kalamkari Saree (Chanderi),Saree,Charcoal,M,SUP-004,1960,5707,54,0,54,1.0,0.0,2024-09-22,70,0.0,0.0,999.0,70.0,202338,Critical,,Urgent markdown,35,No sale in 70 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,3710,137590,160272,1
SKU-0216,Bandhani Coord Set (Rayon),Coord Set,Indigo,XL,SUP-001,685,2669,128,18,110,0.859,0.141,2024-09-12,80,0.91,0.0,999.0,68.72,218240,Critical,Store - Indiranagar,Urgent markdown,35,No sale in 80 days with 86% stock remaining. Margin eroding rapidly. Act before season ends.,1735,148403,152680,1
SKU-0087,Ajrakh Kurta (Mul mul),Kurta,Ivory,XXL,SUP-005,467,1720,123,9,114,0.927,0.073,2024-09-19,73,0.46,0.0,999.0,67.67,142842,Critical,Online - Website,Urgent markdown,30,No sale in 73 days with 93% stock remaining. Margin eroding rapidly. Act before season ends.,1204,97133,109805,1
SKU-0100,Dabu print Kurta (Linen),Kurta,Blush pink,M,SUP-007,565,1335,32,7,25,0.781,0.219,2024-09-07,85,0.4,0.0,999.0,66.39,19250,Critical,Online - Nykaa,Urgent markdown,30,No sale in 85 days with 78% stock remaining. Margin eroding rapidly. Act before season ends.,934,13090,18680,1
SKU-0244,Shibori Coord Set (Linen),Coord Set,Teal,L,SUP-010,576,2043,68,7,61,0.897,0.103,2024-09-18,74,0.48,0.0,999.0,66.38,89487,Critical,Store - Indiranagar,Urgent markdown,35,No sale in 74 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,1328,60851,64806,1
SKU-0204,Dabu print Coord Set (Linen),Coord Set,Teal,S,SUP-006,732,1988,132,9,123,0.932,0.068,2024-09-22,70,0.49,0.0,999.0,65.24,154488,Critical,Online - Website,Urgent markdown,35,No sale in 70 days with 93% stock remaining. Margin eroding rapidly. Act before season ends.,1292,105052,127133,1
SKU-0396,Shibori Dress (Silk blend),Dress,Indigo,XS,SUP-003,494,1506,82,13,69,0.841,0.159,2024-09-15,77,0.58,0.0,999.0,64.76,69828,Critical,Store - Koramangala,Urgent markdown,30,No sale in 77 days with 84% stock remaining. Margin eroding rapidly. Act before season ends.,1054,47483,58181,1
SKU-0410,Ajrakh Dress (Linen),Dress,Indigo,L,SUP-004,473,1759,82,13,69,0.841,0.159,2024-09-16,76,0.53,0.0,999.0,63.92,88734,Critical,Store - MG Road,Urgent markdown,30,No sale in 76 days with 84% stock remaining. Margin eroding rapidly. Act before season ends.,1231,60339,67951,1
SKU-0050,Kalamkari Kurta (Cotton),Kurta,Terracotta,S,SUP-001,628,1076,140,31,109,0.779,0.221,2024-09-10,82,1.45,0.0,999.0,63.88,48832,Critical,Online - Nykaa,Urgent markdown,30,No sale in 82 days with 78% stock remaining. Margin eroding rapidly. Act before season ends.,753,33206,65662,1
SKU-0246,Chikankari Coord Set (Linen),Coord Set,Ivory,L,SUP-008,535,2507,74,12,62,0.838,0.162,2024-09-16,76,0.64,0.0,999.0,63.69,122264,Critical,Store - MG Road,Urgent markdown,35,No sale in 76 days with 84% stock remaining. Margin eroding rapidly. Act before season ends.,1630,83140,80848,1
SKU-0253,Ajrakh Coord Set (Silk blend),Coord Set,Teal,XL,SUP-002,577,2500,96,25,71,0.74,0.26,2024-09-07,85,1.05,0.0,999.0,62.9,136533,Critical,Store - MG Road,Urgent markdown,35,No sale in 85 days with 74% stock remaining. Margin eroding rapidly. Act before season ends.,1625,92842,92300,1
SKU-0490,Dabu print Palazzo (Silk blend),Palazzo,Blush pink,L,SUP-001,322,622,72,19,53,0.736,0.264,2024-09-10,82,0.79,0.0,999.0,60.35,15900,Critical,Store - Koramangala,Urgent markdown,25,No sale in 82 days with 74% stock remaining. Margin eroding rapidly. Act before season ends.,466,10812,19758,1
SKU-0498,Mirror work Palazzo (Mul mul),Palazzo,Ivory,M,SUP-006,203,763,143,13,130,0.909,0.091,2024-09-26,66,0.61,0.0,999.0,59.99,72800,Critical,Online - Nykaa,Urgent markdown,25,No sale in 66 days with 91% stock remaining. Margin eroding rapidly. Act before season ends.,572,49504,59488,1
SKU-0414,Shibori Dress (Cotton),Dress,Rust,XS,SUP-002,739,1767,73,10,63,0.863,0.137,2024-09-23,69,0.46,0.0,999.0,59.55,64764,Critical,Online - Nykaa,Urgent markdown,30,No sale in 69 days with 86% stock remaining. Margin eroding rapidly. Act before season ends.,1237,44040,62345,1
SKU-0264,Ikat Coord Set (Cotton),Coord Set,Teal,S,SUP-002,725,1908,134,39,95,0.709,0.291,2024-09-09,83,1.76,0.0,999.0,58.85,112385,Critical,Online - Instagram,Urgent markdown,35,No sale in 83 days with 71% stock remaining. Margin eroding rapidly. Act before season ends.,1240,76422,94240,1
SKU-0245,Bagru print Coord Set (Cotton),Coord Set,Terracotta,XL,SUP-010,896,1558,85,4,81,0.953,0.047,2024-10-01,61,0.33,0.0,999.0,58.13,53622,Critical,Online - Instagram,Urgent markdown,35,No sale in 61 days with 95% stock remaining. Margin eroding rapidly. Act before season ends.,1013,36463,65642,1
SKU-0152,Ajrakh Saree (Mul mul),Saree,Ochre,M,SUP-001,1780,4881,80,2,78,0.975,0.025,2024-10-03,59,0.24,0.0,999.0,57.52,241878,Critical,Online - Website,Urgent markdown,35,No sale in 59 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,3173,164477,197995,1
SKU-0446,Bandhani Dress (Mul mul),Dress,Terracotta,L,SUP-009,574,1988,83,8,75,0.904,0.096,2024-09-29,63,0.53,0.0,999.0,56.95,106050,Critical,Store - Koramangala,Urgent markdown,30,No sale in 63 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,1392,72114,83520,1
SKU-0194,Mirror work Saree (Silk blend),Saree,Charcoal,XL,SUP-003,1668,6226,30,3,27,0.9,0.1,2024-09-29,63,0.22,0.0,999.0,56.7,123066,Critical,Online - Instagram,Urgent markdown,35,No sale in 63 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,4047,83685,87415,1
SKU-0212,Mirror work Coord Set (Georgette),Coord Set,Ivory,L,SUP-001,534,1844,123,7,116,0.943,0.057,2024-10-02,60,0.46,0.0,999.0,56.58,151960,Critical,Online - Nykaa,Urgent markdown,35,No sale in 60 days with 94% stock remaining. Margin eroding rapidly. Act before season ends.,1199,103333,111267,1
SKU-0107,Chikankari Kurta (Mul mul),Kurta,Blush pink,XS,SUP-007,626,1659,32,4,28,0.875,0.125,2024-09-29,63,0.34,0.0,999.0,55.12,28924,Critical,Store - Indiranagar,Urgent markdown,30,No sale in 63 days with 88% stock remaining. Margin eroding rapidly. Act before season ends.,1161,19668,26006,1
SKU-0070,Bagru print Kurta (Rayon),Kurta,Ivory,XXL,SUP-004,514,1371,46,6,40,0.87,0.13,2024-09-29,63,0.44,0.0,999.0,54.81,34280,Critical,Online - Nykaa,Urgent markdown,30,No sale in 63 days with 87% stock remaining. Margin eroding rapidly. Act before season ends.,960,23310,30720,1
SKU-0349,Chikankari Dupatta (Cotton),Dupatta,Rust,L,SUP-002,261,833,144,8,136,0.944,0.056,2024-10-04,58,0.35,0.0,999.0,54.75,77792,Critical,Store - MG Road,Urgent markdown,25,No sale in 58 days with 94% stock remaining. Margin eroding rapidly. Act before season ends.,625,52899,68000,1
SKU-0392,Ikat Dress (Linen),Dress,Rust,M,SUP-005,424,1756,127,14,113,0.89,0.11,2024-10-01,61,0.86,0.0,999.0,54.29,150516,Critical,Store - Indiranagar,Urgent markdown,30,No sale in 61 days with 89% stock remaining. Margin eroding rapidly. Act before season ends.,1229,102351,111102,1
SKU-0455,Chikankari Palazzo (Linen),Palazzo,Charcoal,M,SUP-004,335,917,44,17,27,0.614,0.386,2024-09-04,88,0.74,0.0,999.0,54.03,15714,Critical,Online - Instagram,Urgent markdown,25,No sale in 88 days with 61% stock remaining. Margin eroding rapidly. Act before season ends.,688,10686,14861,1
SKU-0311,Mirror work Dupatta (Rayon),Dupatta,Sage green,M,SUP-004,195,379,123,5,118,0.959,0.041,2024-10-06,56,0.49,0.0,999.0,53.7,21712,Critical,Online - Instagram,Urgent markdown,25,No sale in 56 days with 96% stock remaining. Margin eroding rapidly. Act before season ends.,284,14764,26810,1
SKU-0187,Bandhani Saree (Linen),Saree,Teal,S,SUP-009,2046,3207,125,3,122,0.976,0.024,2024-10-07,55,0.25,0.0,999.0,53.68,141642,Critical,Online - Nykaa,Urgent markdown,35,No sale in 55 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,2085,96317,203496,1
SKU-0472,Bandhani Palazzo (Silk blend),Palazzo,Terracotta,XS,SUP-004,212,789,124,8,116,0.935,0.065,2024-10-05,57,0.73,0.0,999.0,53.3,66932,Critical,Online - Nykaa,Urgent markdown,25,No sale in 57 days with 94% stock remaining. Margin eroding rapidly. Act before season ends.,592,45514,54938,1
SKU-0262,Kalamkari Coord Set (Mul mul),Coord Set,Blush pink,L,SUP-001,614,2527,59,18,41,0.695,0.305,2024-09-16,76,0.96,0.0,999.0,52.82,78433,Critical,Online - Nykaa,Urgent markdown,35,No sale in 76 days with 70% stock remaining. Margin eroding rapidly. Act before season ends.,1643,53334,53890,1
SKU-0059,Dabu print Kurta (Chanderi),Kurta,Terracotta,XXL,SUP-002,439,1725,144,6,138,0.958,0.042,2024-10-08,54,0.4,0.0,999.0,51.73,177468,Critical,Store - Indiranagar,Urgent markdown,30,No sale in 54 days with 96% stock remaining. Margin eroding rapidly. Act before season ends.,1208,120678,133363,1
SKU-0365,Bagru print Dupatta (Linen),Dupatta,Rust,XL,SUP-004,212,458,85,12,73,0.859,0.141,2024-10-02,60,0.75,0.0,999.0,51.54,17958,Critical,Online - Nykaa,Urgent markdown,25,No sale in 60 days with 86% stock remaining. Margin eroding rapidly. Act before season ends.,344,12211,20090,1
SKU-0474,Bandhani Palazzo (Chanderi),Palazzo,Teal,M,SUP-003,206,755,111,17,94,0.847,0.153,2024-10-02,60,0.9,0.0,999.0,50.82,51606,Critical,Online - Instagram,Urgent markdown,25,No sale in 60 days with 85% stock remaining. Margin eroding rapidly. Act before season ends.,566,35092,42563,1
SKU-0441,Ajrakh Dress (Silk blend),Dress,Teal,XXL,SUP-006,558,1456,111,21,90,0.811,0.189,2024-09-30,62,1.44,0.0,999.0,50.28,80820,Critical,Store - MG Road,Urgent markdown,30,No sale in 62 days with 81% stock remaining. Margin eroding rapidly. Act before season ends.,1019,54958,73368,1
SKU-0318,Block print Dupatta (Cotton),Dupatta,Sage green,XXL,SUP-009,158,847,83,24,59,0.711,0.289,2024-09-22,70,0.95,0.0,999.0,49.77,40651,Critical,Online - Website,Urgent markdown,25,No sale in 70 days with 71% stock remaining. Margin eroding rapidly. Act before season ends.,635,27643,29972,1
SKU-0035,Mirror work Kurta (Linen),Kurta,Rust,XXL,SUP-008,371,1699,56,26,30,0.536,0.464,2024-08-31,92,1.06,0.0,999.0,49.31,39840,Critical,Online - Instagram,Urgent markdown,25,92 days since last sale. Sell-through stalled at 46%. Markdown needed to restart velocity.,1274,27091,30576,1
SKU-0141,Bandhani Saree (Cotton),Saree,Blush pink,S,SUP-003,1560,5510,125,9,116,0.928,0.072,2024-10-09,53,0.79,0.0,999.0,49.18,458200,Critical,Online - Nykaa,Urgent markdown,30,53 days since last sale. Sell-through stalled at 7%. Markdown needed to restart velocity.,3857,311576,357930,1
SKU-0247,Chikankari Coord Set (Linen),Coord Set,Ochre,XL,SUP-006,861,1958,121,5,116,0.959,0.041,2024-10-11,51,0.26,0.0,999.0,48.91,127252,Critical,Online - Nykaa,Urgent markdown,30,51 days since last sale. Sell-through stalled at 4%. Markdown needed to restart velocity.,1371,86531,127229,1
SKU-0147,Bandhani Saree (Cotton),Saree,Charcoal,S,SUP-009,927,4968,132,33,99,0.75,0.25,2024-09-27,65,1.82,0.0,999.0,48.75,400059,Critical,Online - Instagram,Urgent markdown,35,No sale in 65 days with 75% stock remaining. Margin eroding rapidly. Act before season ends.,3229,272040,255737,1
SKU-0112,Kalamkari Kurta (Linen),Kurta,Sage green,XL,SUP-003,491,1269,62,3,59,0.952,0.048,2024-10-11,51,0.41,0.0,999.0,48.55,45902,Critical,Store - MG Road,Urgent markdown,25,51 days since last sale. Sell-through stalled at 5%. Markdown needed to restart velocity.,952,31213,44934,1
SKU-0470,Chikankari Palazzo (Mul mul),Palazzo,Blush pink,M,SUP-003,277,819,35,19,16,0.457,0.543,2024-08-18,105,0.76,0.0,999.0,47.98,8672,Critical,Store - Indiranagar,Urgent markdown,20,105 days since last sale. Sell-through stalled at 54%. Markdown needed to restart velocity.,655,5897,8384,1
SKU-0133,Shibori Saree (Georgette),Saree,Sage green,XXL,SUP-005,1754,3405,117,32,85,0.726,0.274,2024-09-26,66,1.36,0.0,999.0,47.92,140335,Critical,Store - MG Road,Urgent markdown,35,No sale in 66 days with 73% stock remaining. Margin eroding rapidly. Act before season ends.,2213,95428,150484,1
SKU-0094,Bagru print Kurta (Cotton),Kurta,Rust,M,SUP-002,357,1309,90,26,64,0.711,0.289,2024-09-25,67,1.26,0.0,999.0,47.64,60928,Critical,Store - Koramangala,Urgent markdown,30,No sale in 67 days with 71% stock remaining. Margin eroding rapidly. Act before season ends.,916,41431,46899,1
