sku_id,product_name,category,color,size,cost_price,mrp,units_purchased,sell_through_rate,status,bleed_score,predicted_units_next_season,units_min,units_max,vs_last_season,buying_signal,estimated_capital_needed
SKU-0334,Ikat Dupatta (Silk blend),Dupatta,Ochre,L,163,446,118,0.051,Warning,21.83,29,25,33,-89,Buy much less,4727
SKU-0072,Bandhani Kurta (Georgette),Kurta,Rust,XL,440,1663,121,0.033,Critical,75.43,33,28,38,-88,Buy much less,14520
SKU-0489,Ikat Palazzo (Silk blend),Palazzo,Mauve,XS,226,603,122,0.016,Critical,173.18,34,29,39,-88,Buy much less,7684
SKU-0220,Dabu print Coord Set (Silk blend),Coord Set,Ochre,XXL,663,1700,122,0.033,Critical,78.33,35,30,40,-87,Buy much less,23205
SKU-0098,Block print Kurta (Chanderi),Kurta,Sage green,XS,405,1299,142,0.289,Critical,39.1,56,48,64,-86,Buy much less,22680
SKU-0264,Ikat Coord Set (Cotton),Coord Set,Teal,S,725,1908,134,0.291,Critical,58.85,50,42,57,-84,Buy much less,36250
SKU-0374,Mirror work Dress (Cotton),Dress,Charcoal,L,726,2009,113,0.08,Warning,39.56,29,25,33,-84,Buy much less,21054
SKU-0133,Shibori Saree (Georgette),Saree,Sage green,XXL,1754,3405,117,0.274,Critical,47.92,34,29,39,-83,Buy much less,59636
SKU-0463,Ajrakh Palazzo (Georgette),Palazzo,Charcoal,XS,369,751,115,0.096,Healthy,6.33,33,28,38,-82,Buy much less,12177
SKU-0147,Bandhani Saree (Cotton),Saree,Charcoal,S,927,4968,132,0.25,Critical,48.75,51,43,59,-81,Buy much less,47277
SKU-0474,Bandhani Palazzo (Chanderi),Palazzo,Teal,M,206,755,111,0.153,Critical,50.82,30,26,34,-81,Buy much less,6180
SKU-0491,Block print Palazzo (Rayon),Palazzo,Teal,L,320,590,139,0.187,Healthy,2.44,59,50,68,-80,Buy much less,18880
SKU-0416,Block print Dress (Mul mul),Dress,Charcoal,S,605,1570,114,0.018,Critical,166.94,34,29,39,-80,Buy much less,20570
SKU-0191,Block print Saree (Linen),Saree,Rust,M,1180,4707,116,0.043,Healthy,2.87,36,31,41,-80,Buy much less,42480
SKU-0426,Ikat Dress (Chanderi),Dress,Terracotta,XXL,443,1640,113,0.018,Critical,163.01,34,29,39,-79,Buy much less,15062
SKU-0325,Bagru print Dupatta (Cotton),Dupatta,Rust,M,250,436,114,0.105,Critical,80.55,35,30,40,-79,Buy much less,8750
SKU-0319,Ikat Dupatta (Cotton),Dupatta,Sage green,XL,179,713,137,0.241,Healthy,2.28,58,49,67,-79,Buy much less,10382
SKU-0117,Bandhani Kurta (Rayon),Kurta,Mauve,XL,619,1777,107,0.009,Critical,42.61,29,25,33,-78,Buy much less,17951
SKU-0441,Ajrakh Dress (Silk blend),Dress,Teal,XXL,558,1456,111,0.189,Critical,50.28,33,28,38,-78,Buy much less,18414
SKU-0314,Shibori Dupatta (Mul mul),Dupatta,Terracotta,S,209,749,106,0.057,Warning,36.78,29,25,33,-77,Buy much less,6061
SKU-0176,Block print Saree (Silk blend),Saree,Rust,XXL,1489,3049,140,0.25,Healthy,0.75,63,54,72,-77,Buy much less,93807
SKU-0058,Ajrakh Kurta (Rayon),Kurta,Rust,S,414,1366,116,0.224,Warning,29.49,42,36,48,-74,Buy much less,17388
SKU-0279,Bagru print Coord Set (Georgette),Coord Set,Mauve,XS,648,2049,119,0.235,Healthy,2.3,45,38,52,-74,Buy much less,29160
SKU-0447,Bandhani Dress (Cotton),Dress,Charcoal,XL,667,1766,142,0.176,Healthy,2.47,69,59,79,-73,Buy much less,46023
SKU-0481,Bandhani Palazzo (Chanderi),Palazzo,Indigo,XS,281,1023,109,0.193,Warning,32.28,36,31,41,-73,Buy much less,10116
SKU-0417,Block print Dress (Mul mul),Dress,Ivory,L,654,2136,123,0.26,Critical,42.92,51,43,59,-72,Buy much less,33354
SKU-0185,Chikankari Saree (Georgette),Saree,Indigo,L,1162,5708,107,0.14,Critical,85.14,35,30,40,-72,Buy much less,40670
SKU-0206,Shibori Coord Set (Linen),Coord Set,Charcoal,XS,816,2034,105,0.019,Critical,70.63,34,29,39,-71,Buy much less,27744
SKU-0160,Mirror work Saree (Cotton),Saree,Indigo,XS,1460,5352,134,0.433,Healthy,11.34,64,54,74,-70,Buy much less,93440
SKU-0373,Bandhani Dress (Georgette),Dress,Charcoal,S,532,1431,103,0.01,Critical,133.65,34,29,39,-69,Buy much less,18088
SKU-0411,Chikankari Dress (Chanderi),Dress,Teal,XXL,441,2153,111,0.054,Healthy,1.89,42,36,48,-69,Buy much less,18522
SKU-0252,Bandhani Coord Set (Mul mul),Coord Set,Teal,M,649,2204,102,0.088,Critical,93.02,34,29,39,-68,Buy much less,22066
SKU-0371,Chikankari Dress (Cotton),Dress,Sage green,S,427,1958,95,0.147,Critical,43.5,28,24,32,-67,Buy much less,11956
SKU-0061,Kalamkari Kurta (Cotton),Kurta,Blush pink,M,598,1625,128,0.445,Warning,26.08,61,52,70,-67,Buy much less,36478
SKU-0122,Ajrakh Saree (Chanderi),Saree,Mauve,M,1750,4536,126,0.341,Healthy,13.84,60,51,69,-66,Buy much less,105000
SKU-0015,Dabu print Kurta (Chanderi),Kurta,Rust,XS,632,1342,125,0.112,Healthy,2.66,60,51,69,-65,Buy much less,37920
SKU-0047,Chikankari Kurta (Mul mul),Kurta,Ochre,XL,409,1569,123,0.065,Healthy,1.87,59,50,68,-64,Buy much less,24131
SKU-0127,Ikat Saree (Mul mul),Saree,Mauve,XL,1792,3839,135,0.296,Healthy,0.7,71,60,82,-64,Buy much less,127232
SKU-0372,Ikat Dress (Chanderi),Dress,Mauve,M,743,2089,113,0.389,Critical,46.44,49,42,56,-64,Buy much less,36407
SKU-0253,Ajrakh Coord Set (Silk blend),Coord Set,Teal,XL,577,2500,96,0.26,Critical,62.9,34,29,39,-62,Buy much less,19618
SKU-0266,Mirror work Coord Set (Silk blend),Coord Set,Ochre,L,810,1661,145,0.559,Critical,23.37,83,71,95,-62,Buy much less,67230
SKU-0115,Kalamkari Kurta (Linen),Kurta,Indigo,XXL,443,1044,149,0.463,Healthy,0.54,88,75,101,-61,Buy much less,38984
SKU-0099,Bagru print Kurta (Linen),Kurta,Terracotta,L,602,1641,107,0.196,Warning,22.51,46,39,53,-61,Buy much less,27692
SKU-0119,Block print Kurta (Cotton),Kurta,Ivory,XS,372,1524,95,0.053,Critical,117.43,34,29,39,-61,Buy much less,12648
SKU-0085,Shibori Kurta (Linen),Kurta,Ivory,M,494,1034,91,0.209,Critical,42.71,31,26,36,-60,Buy much less,15314
SKU-0008,Ajrakh Kurta (Chanderi),Kurta,Sage green,XXL,540,1351,107,0.206,Healthy,1.59,47,40,54,-60,Buy much less,25380
SKU-0094,Bagru print Kurta (Cotton),Kurta,Rust,M,357,1309,90,0.289,Critical,47.64,32,27,37,-58,Buy much less,11424
SKU-0406,Bagru print Dress (Georgette),Dress,Indigo,M,581,1421,116,0.112,Healthy,1.78,59,50,68,-57,Buy much less,34279
SKU-0211,Bagru print Coord Set (Cotton),Coord Set,Rust,L,710,2061,144,0.333,Healthy,1.33,89,76,102,-55,Buy much less,63190
SKU-0236,Block print Coord Set (Mul mul),Coord Set,Terracotta,XL,588,2124,89,0.146,Critical,77.71,34,29,39,-55,Buy much less,19992
SKU-0365,Bagru print Dupatta (Linen),Dupatta,Rust,XL,212,458,85,0.141,Critical,51.54,31,26,36,-54,Buy much less,6572
SKU-0422,Mirror work Dress (Mul mul),Dress,Mauve,L,682,1373,83,0.012,Healthy,15.81,29,25,33,-54,Buy much less,19778
SKU-0177,Kalamkari Saree (Chanderi),Saree,Charcoal,M,1912,4576,96,0.229,Warning,30.07,42,36,48,-54,Buy much less,80304
SKU-0446,Bandhani Dress (Mul mul),Dress,Terracotta,L,574,1988,83,0.096,Critical,56.95,30,26,34,-53,Buy much less,17220
SKU-0326,Ajrakh Dupatta (Rayon),Dupatta,Sage green,S,247,745,100,0.42,Critical,41.76,47,40,54,-53,Buy much less,11609
SKU-0245,Bagru print Coord Set (Cotton),Coord Set,Terracotta,XL,896,1558,85,0.047,Critical,58.13,32,27,37,-53,Buy much less,28672
SKU-0287,Block print Coord Set (Rayon),Coord Set,Sage green,XL,542,1807,87,0.149,Critical,76.59,34,29,39,-53,Buy much less,18428
SKU-0315,Mirror work Dupatta (Rayon),Dupatta,Ochre,XS,226,462,146,0.603,Healthy,5.16,94,80,108,-52,Buy much less,21244
SKU-0401,Bandhani Dress (Silk blend),Dress,Indigo,S,603,1156,133,0.489,Healthy,0.0,81,69,93,-52,Buy much less,48843
SKU-0124,Ikat Saree (Mul mul),Saree,Indigo,M,1980,5919,144,0.153,Healthy,1.69,93,79,107,-51,Buy much less,184140
SKU-0379,Shibori Dress (Georgette),Dress,Teal,M,607,1294,86,0.198,Critical,79.4,35,30,40,-51,Buy much less,21245
SKU-0189,Block print Saree (Mul mul),Saree,Ochre,XS,1283,3465,147,0.633,Healthy,0.0,96,82,110,-51,Buy much less,123168
SKU-0258,Dabu print Coord Set (Silk blend),Coord Set,Ochre,XXL,729,1466,116,0.259,Healthy,1.48,65,55,75,-51,Buy much less,47385
SKU-0308,Block print Dupatta (Georgette),Dupatta,Teal,L,176,778,117,0.154,Healthy,5.08,66,56,76,-51,Buy much less,11616
SKU-0108,Kalamkari Kurta (Mul mul),Kurta,Blush pink,XXL,592,1492,113,0.239,Healthy,3.04,62,53,71,-51,Buy much less,36704
SKU-0450,Block print Dress (Chanderi),Dress,Terracotta,XL,510,1423,145,0.579,Healthy,10.1,94,80,108,-51,Buy much less,47940
SKU-0318,Block print Dupatta (Cotton),Dupatta,Sage green,XXL,158,847,83,0.289,Critical,49.77,33,28,38,-50,Buy much less,5214
SKU-0265,Bandhani Coord Set (Mul mul),Coord Set,Teal,S,840,2169,111,0.369,Healthy,2.52,61,52,70,-50,Buy much less,51240
SKU-0143,Dabu print Saree (Georgette),Saree,Ivory,XL,1534,3022,141,0.156,Healthy,0.0,91,77,105,-50,Buy much less,139594
SKU-0152,Ajrakh Saree (Mul mul),Saree,Ochre,M,1780,4881,80,0.025,Critical,57.52,30,26,34,-50,Buy much less,53400
SKU-0270,Block print Coord Set (Mul mul),Coord Set,Ivory,XXL,780,1652,139,0.525,Healthy,0.48,89,76,102,-50,Buy much less,69420
SKU-0410,Ajrakh Dress (Linen),Dress,Indigo,L,473,1759,82,0.159,Critical,63.92,32,27,37,-50,Buy much less,15136
SKU-0345,Ajrakh Dupatta (Chanderi),Dupatta,Charcoal,XXL,153,390,98,0.255,Warning,23.84,49,42,56,-49,Buy much less,7497
SKU-0166,Ajrakh Saree (Cotton),Saree,Terracotta,L,1781,3120,84,0.036,Critical,99.29,35,30,40,-49,Buy much less,62335
SKU-0013,Bagru print Kurta (Rayon),Kurta,Rust,L,397,1452,115,0.565,Critical,23.92,66,56,76,-49,Buy much less,26202
SKU-0396,Shibori Dress (Silk blend),Dress,Indigo,XS,494,1506,82,0.159,Critical,64.76,33,28,38,-49,Buy much less,16302
SKU-0324,Shibori Dupatta (Rayon),Dupatta,Terracotta,XL,239,733,98,0.48,Critical,29.64,50,42,57,-48,Buy much less,11950
SKU-0162,Kalamkari Saree (Georgette),Saree,Charcoal,M,1049,2590,143,0.161,Healthy,0.0,95,81,109,-48,Buy much less,99655
SKU-0255,Ikat Coord Set (Chanderi),Coord Set,Ochre,S,687,1701,138,0.21,Healthy,0.79,90,76,103,-48,Buy much less,61830
SKU-0095,Kalamkari Kurta (Rayon),Kurta,Indigo,L,471,1000,90,0.433,Critical,34.02,43,37,49,-47,Buy much less,20253
SKU-0104,Ajrakh Kurta (Georgette),Kurta,Sage green,XXL,416,1182,140,0.75,Healthy,4.25,93,79,107,-47,Buy much less,38688
SKU-0024,Dabu print Kurta (Linen),Kurta,Teal,L,475,1079,104,0.308,Healthy,1.38,57,48,66,-47,Buy much less,27075
SKU-0039,Chikankari Kurta (Cotton),Kurta,Rust,S,540,1202,135,0.63,Critical,21.09,88,75,101,-47,Buy much less,47520
SKU-0200,Block print Saree (Rayon),Saree,Indigo,XXL,1383,2594,139,0.612,Healthy,0.39,93,79,107,-46,Buy much less,128619
SKU-0442,Ajrakh Dress (Cotton),Dress,Mauve,S,573,1719,148,0.811,Healthy,0.0,102,87,117,-46,Buy much less,58446
SKU-0213,Ikat Coord Set (Rayon),Coord Set,Sage green,L,712,1558,89,0.135,Healthy,7.78,43,37,49,-46,Buy much less,30616
SKU-0272,Ikat Coord Set (Chanderi),Coord Set,Ochre,XL,524,2502,89,0.348,Healthy,15.65,44,37,51,-45,Buy much less,23056
SKU-0154,Bagru print Saree (Silk blend),Saree,Ochre,S,1475,3336,140,0.364,Healthy,0.0,95,81,109,-45,Buy much less,140125
SKU-0286,Block print Coord Set (Georgette),Coord Set,Mauve,XL,842,2255,116,0.371,Healthy,0.63,71,60,82,-45,Buy much less,59782
SKU-0488,Dabu print Palazzo (Linen),Palazzo,Ochre,XS,282,969,143,0.643,Healthy,0.36,98,83,113,-45,Buy much less,27636
SKU-0300,Chikankari Coord Set (Mul mul),Coord Set,Charcoal,XL,522,1812,135,0.356,Healthy,0.0,90,76,103,-45,Buy much less,46980
SKU-0366,Block print Dupatta (Linen),Dupatta,Blush pink,M,260,538,126,0.532,Healthy,0.47,82,70,94,-44,Buy much less,21320
SKU-0157,Dabu print Saree (Cotton),Saree,Teal,M,2040,3138,143,0.727,Healthy,6.01,99,84,114,-44,Buy much less,201960
SKU-0183,Kalamkari Saree (Chanderi),Saree,Sage green,M,1162,4804,89,0.348,Warning,29.34,45,38,52,-44,Buy much less,52290
SKU-0305,Bagru print Dupatta (Silk blend),Dupatta,Mauve,S,194,749,140,0.55,Healthy,0.0,96,82,110,-44,Buy much less,18624
SKU-0312,Ikat Dupatta (Cotton),Dupatta,Charcoal,L,232,532,74,0.216,Critical,44.69,30,26,34,-44,Buy much less,6960
SKU-0316,Dabu print Dupatta (Silk blend),Dupatta,Mauve,XL,266,775,113,0.239,Healthy,0.76,69,59,79,-44,Buy much less,18354
SKU-0037,Block print Kurta (Mul mul),Kurta,Mauve,XXL,384,1141,134,0.455,Healthy,0.55,91,77,105,-43,Buy much less,34944
SKU-0260,Shibori Coord Set (Georgette),Coord Set,Terracotta,XXL,649,1852,84,0.333,Warning,26.01,41,35,47,-43,Buy much less,26609
SKU-0076,Shibori Kurta (Chanderi),Kurta,Charcoal,XS,576,1608,146,0.178,Healthy,0.0,103,88,118,-43,Buy much less,59328
SKU-0193,Bandhani Saree (Cotton),Saree,Blush pink,L,1953,5355,76,0.105,Healthy,3.58,33,28,38,-43,Buy much less,64449
SKU-0464,Shibori Palazzo (Silk blend),Palazzo,Mauve,XL,216,985,142,0.662,Healthy,2.03,100,85,115,-42,Buy much less,21600
SKU-0256,Ikat Coord Set (Silk blend),Coord Set,Charcoal,XS,535,2143,70,0.157,Warning,37.09,28,24,32,-42,Buy much less,14980
SKU-0429,Kalamkari Dress (Mul mul),Dress,Teal,L,474,1618,102,0.343,Healthy,6.57,60,51,69,-42,Buy much less,28440
SKU-0246,Chikankari Coord Set (Linen),Coord Set,Ivory,L,535,2507,74,0.162,Critical,63.69,32,27,37,-42,Buy much less,17120
SKU-0357,Mirror work Dupatta (Cotton),Dupatta,Blush pink,XL,224,474,77,0.104,Critical,82.43,35,30,40,-42,Buy much less,7840
SKU-0433,Shibori Dress (Cotton),Dress,Terracotta,L,562,1639,135,0.252,Healthy,0.0,93,79,107,-42,Buy much less,52266
SKU-0388,Mirror work Dress (Rayon),Dress,Teal,M,724,1773,71,0.31,Critical,37.26,30,26,34,-41,Buy much less,21720
SKU-0230,Ajrakh Coord Set (Chanderi),Coord Set,Ivory,S,618,2641,76,0.105,Critical,114.56,35,30,40,-41,Buy much less,21630
SKU-0128,Dabu print Saree (Cotton),Saree,Ochre,M,1808,2803,70,0.043,Critical,42.11,29,25,33,-41,Buy much less,52432
SKU-0413,Bagru print Dress (Chanderi),Dress,Blush pink,XS,573,1393,98,0.449,Healthy,6.61,57,48,66,-41,Buy much less,32661
SKU-0164,Bandhani Saree (Mul mul),Saree,Indigo,M,2096,3382,72,0.458,Critical,30.35,31,26,36,-41,Buy much less,64976
SKU-0445,Ajrakh Dress (Georgette),Dress,Blush pink,M,520,1270,130,0.723,Healthy,4.99,90,76,103,-40,Buy much less,46800
SKU-0321,Shibori Dupatta (Rayon),Dupatta,Ochre,L,199,749,74,0.0,Critical,119.0,34,29,39,-40,Buy much less,6766
SKU-0376,Chikankari Dress (Rayon),Dress,Terracotta,XL,687,1518,91,0.341,Warning,17.13,51,43,59,-40,Buy much less,35037
SKU-0419,Shibori Dress (Silk blend),Dress,Indigo,XXL,723,1970,137,0.321,Healthy,0.0,97,82,112,-40,Buy much less,70131
SKU-0027,Bandhani Kurta (Georgette),Kurta,Rust,L,601,1352,81,0.383,Warning,19.13,41,35,47,-40,Buy much less,24641
SKU-0414,Shibori Dress (Cotton),Dress,Rust,XS,739,1767,73,0.137,Critical,59.55,34,29,39,-39,Buy much less,25126
SKU-0065,Ikat Kurta (Silk blend),Kurta,Terracotta,XL,425,1214,128,0.219,Healthy,0.78,89,76,102,-39,Buy much less,37825
SKU-0381,Bandhani Dress (Rayon),Dress,Terracotta,L,740,1658,121,0.62,Critical,19.76,82,70,94,-39,Buy much less,60680
SKU-0327,Bagru print Dupatta (Rayon),Dupatta,Indigo,L,205,638,72,0.0,Critical,94.0,34,29,39,-38,Buy much less,6970
SKU-0471,Kalamkari Palazzo (Cotton),Palazzo,Mauve,M,320,717,133,0.579,Healthy,10.1,95,81,109,-38,Buy much less,30400
SKU-0132,Ajrakh Saree (Silk blend),Saree,Indigo,M,874,2585,72,0.347,Critical,47.02,34,29,39,-38,Buy much less,29716
SKU-0490,Dabu print Palazzo (Silk blend),Palazzo,Blush pink,L,322,622,72,0.264,Critical,60.35,34,29,39,-38,Buy much less,10948
SKU-0393,Mirror work Dress (Silk blend),Dress,Teal,L,686,1345,110,0.545,Critical,32.3,72,61,83,-38,Buy much less,49392
SKU-0163,Ikat Saree (Georgette),Saree,Rust,S,1626,3700,132,0.712,Healthy,0.29,94,80,108,-38,Buy much less,152844
SKU-0116,Block print Kurta (Linen),Kurta,Blush pink,M,486,1537,130,0.369,Healthy,0.63,93,79,107,-37,Buy much less,45198
SKU-0179,Bagru print Saree (Silk blend),Saree,Mauve,S,1947,3174,99,0.222,Healthy,0.78,62,53,71,-37,Buy much less,120714
SKU-0348,Kalamkari Dupatta (Silk blend),Dupatta,Charcoal,XL,272,652,75,0.227,Healthy,13.14,39,33,45,-36,Buy much less,10608
SKU-0454,Chikankari Palazzo (Chanderi),Palazzo,Sage green,S,348,1011,138,0.833,Warning,4.68,102,87,117,-36,Buy much less,35496
SKU-0278,Chikankari Coord Set (Chanderi),Coord Set,Mauve,XXL,728,1997,108,0.593,Warning,16.28,72,61,83,-36,Buy much less,52416
SKU-0385,Kalamkari Dress (Linen),Dress,Terracotta,XL,725,1361,66,0.136,Warning,31.1,30,26,34,-36,Buy much less,21750
SKU-0235,Bandhani Coord Set (Rayon),Coord Set,Ivory,XXL,518,1796,100,0.18,Healthy,0.82,64,54,74,-36,Buy much less,33152
SKU-0400,Kalamkari Dress (Mul mul),Dress,Indigo,XS,742,2005,64,0.109,Warning,26.73,29,25,33,-35,Buy much less,21518
SKU-0244,Shibori Coord Set (Linen),Coord Set,Teal,L,576,2043,68,0.103,Critical,66.38,33,28,38,-35,Buy much less,19008
SKU-0494,Dabu print Palazzo (Linen),Palazzo,Ivory,M,262,1053,80,0.588,Warning,18.54,45,38,52,-35,Buy much less,11790
SKU-0007,Mirror work Kurta (Linen),Kurta,Terracotta,L,399,1337,122,0.082,Healthy,0.92,87,74,100,-35,Buy much less,34713
SKU-0332,Bagru print Dupatta (Rayon),Dupatta,Ochre,L,235,563,69,0.116,Critical,103.43,34,29,39,-35,Buy much less,7990
SKU-0053,Kalamkari Kurta (Georgette),Kurta,Ivory,XXL,435,1646,98,0.214,Healthy,1.57,63,54,72,-35,Buy much less,27405
SKU-0273,Bandhani Coord Set (Rayon),Coord Set,Rust,S,650,1866,118,0.475,Healthy,1.05,84,71,97,-34,Buy much less,54600
SKU-0466,Mirror work Palazzo (Cotton),Palazzo,Teal,S,295,972,86,0.43,Critical,37.62,52,44,60,-34,Buy much less,15340
SKU-0112,Kalamkari Kurta (Linen),Kurta,Sage green,XL,491,1269,62,0.048,Critical,48.55,28,24,32,-34,Buy much less,13748
SKU-0395,Mirror work Dress (Georgette),Dress,Teal,S,573,1719,131,0.588,Healthy,0.0,97,82,112,-34,Buy much less,55581
SKU-0452,Kalamkari Palazzo (Silk blend),Palazzo,Blush pink,M,221,903,128,0.586,Healthy,7.04,95,81,109,-33,Buy much less,20995
SKU-0025,Mirror work Kurta (Rayon),Kurta,Sage green,S,533,1072,115,0.557,Critical,27.91,82,70,94,-33,Buy much less,43706
