sku_id,product_name,category,color,size,supplier_id,launch_date,cost_price,mrp,margin_per_unit,units_purchased,units_sold_total,units_on_hand,stock_remaining_pct,sell_through_rate,last_sale_date,days_since_last_sale,days_on_shelf,units_sold_last_4w,velocity_overall,weeks_of_stock,bleed_score,margin_at_risk,status,top_channel
SKU-0135,Mirror work Saree (Linen),Saree,Blush pink,XS,SUP-007,2024-06-23,1648,5632,3984,30,4,26,0.867,0.133,2024-08-03,120,161,0.0,0.17,999.0,104.04,103584,Critical,Online - Website
SKU-0332,Bagru print Dupatta (Rayon),Dupatta,Ochre,L,SUP-009,2024-06-28,235,563,328,69,8,61,0.884,0.116,2024-08-06,117,156,0.0,0.36,999.0,103.43,20008,Critical,Online - Instagram
SKU-0166,Ajrakh Saree (Cotton),Saree,Terracotta,L,SUP-002,2024-06-30,1781,3120,1339,84,3,81,0.964,0.036,2024-08-20,103,154,0.0,0.14,999.0,99.29,108459,Critical,Store - MG Road
SKU-0444,Mirror work Dress (Mul mul),Dress,Charcoal,XL,SUP-010,2024-08-24,606,1853,1247,65,0,65,1.0,0.0,2024-08-24,99,99,0.0,0.0,999.0,99.0,81055,Critical,
SKU-0121,Ikat Saree (Rayon),Saree,Ochre,XS,SUP-001,2024-06-16,1353,4235,2882,130,5,125,0.962,0.038,2024-08-23,100,168,0.0,0.21,999.0,96.2,360250,Critical,Store - MG Road
SKU-0493,Chikankari Palazzo (Chanderi),Palazzo,Indigo,XXL,SUP-003,2024-08-28,274,1077,803,65,0,65,1.0,0.0,2024-08-28,95,95,0.0,0.0,999.0,95.0,52195,Critical,
SKU-0327,Bagru print Dupatta (Rayon),Dupatta,Indigo,L,SUP-010,2024-08-29,205,638,433,72,0,72,1.0,0.0,2024-08-29,94,94,0.0,0.0,999.0,94.0,31176,Critical,
SKU-0252,Bandhani Coord Set (Mul mul),Coord Set,Teal,M,SUP-010,2024-06-28,649,2204,1555,102,9,93,0.912,0.088,2024-08-21,102,156,0.0,0.4,999.0,93.02,144615,Critical,Store - Koramangala
SKU-0215,Ikat Coord Set (Linen),Coord Set,Teal,S,SUP-003,2024-06-09,565,1734,1169,144,16,128,0.889,0.111,2024-08-20,103,175,0.0,0.64,999.0,91.57,149632,Critical,Online - Instagram
SKU-0402,Bandhani Dress (Cotton),Dress,Sage green,XS,SUP-005,2024-07-06,746,1641,895,30,3,27,0.9,0.1,2024-08-25,98,148,0.0,0.14,999.0,88.2,24165,Critical,Online - Nykaa
SKU-0150,Dabu print Saree (Linen),Saree,Mauve,M,SUP-009,2024-07-24,1976,3822,1846,60,9,51,0.85,0.15,2024-08-21,102,130,0.0,0.48,999.0,86.7,94146,Critical,Online - Nykaa
SKU-0185,Chikankari Saree (Georgette),Saree,Indigo,L,SUP-002,2024-06-13,1162,5708,4546,107,15,92,0.86,0.14,2024-08-24,99,171,0.0,0.61,999.0,85.14,418232,Critical,Online - Instagram
SKU-0453,Bandhani Palazzo (Rayon),Palazzo,Teal,S,SUP-008,2024-07-26,275,831,556,34,4,30,0.882,0.118,2024-08-27,96,128,0.0,0.22,999.0,84.67,16680,Critical,Online - Nykaa
SKU-0420,Ikat Dress (Georgette),Dress,Indigo,XS,SUP-009,2024-06-30,432,1309,877,67,5,62,0.925,0.075,2024-09-02,90,154,0.0,0.23,999.0,83.25,54374,Critical,Online - Website
SKU-0219,Shibori Coord Set (Cotton),Coord Set,Indigo,M,SUP-005,2024-07-18,825,2568,1743,34,3,31,0.912,0.088,2024-09-01,91,136,0.0,0.15,999.0,82.99,54033,Critical,Store - MG Road
SKU-0079,Mirror work Kurta (Georgette),Kurta,Ivory,XS,SUP-001,2024-06-16,569,990,421,146,16,130,0.89,0.11,2024-08-30,93,168,0.0,0.67,999.0,82.77,54730,Critical,Store - MG Road
SKU-0357,Mirror work Dupatta (Cotton),Dupatta,Blush pink,XL,SUP-001,2024-07-31,224,474,250,77,8,69,0.896,0.104,2024-08-31,92,123,0.0,0.46,999.0,82.43,17250,Critical,Online - Instagram
SKU-0500,Ikat Palazzo (Silk blend),Palazzo,Rust,L,SUP-005,2024-08-01,220,791,571,30,5,25,0.833,0.167,2024-08-25,98,122,0.0,0.29,999.0,81.63,14275,Critical,Online - Website
SKU-0023,Ajrakh Kurta (Chanderi),Kurta,Ochre,XL,SUP-001,2024-07-28,430,1648,1218,30,4,26,0.867,0.133,2024-08-30,93,126,0.0,0.22,999.0,80.63,31668,Critical,Online - Instagram
SKU-0325,Bagru print Dupatta (Cotton),Dupatta,Rust,M,SUP-009,2024-06-06,250,436,186,114,12,102,0.895,0.105,2024-09-02,90,178,0.0,0.47,999.0,80.55,18972,Critical,Store - Koramangala
SKU-0379,Shibori Dress (Georgette),Dress,Teal,M,SUP-010,2024-06-15,607,1294,687,86,17,69,0.802,0.198,2024-08-24,99,169,0.0,0.7,999.0,79.4,47403,Critical,Online - Website
SKU-0220,Dabu print Coord Set (Silk blend),Coord Set,Ochre,XXL,SUP-010,2024-06-20,663,1700,1037,122,4,118,0.967,0.033,2024-09-11,81,164,0.0,0.17,999.0,78.33,122366,Critical,Online - Nykaa
SKU-0236,Block print Coord Set (Mul mul),Coord Set,Terracotta,XL,SUP-003,2024-06-28,588,2124,1536,89,13,76,0.854,0.146,2024-09-01,91,156,0.0,0.58,999.0,77.71,116736,Critical,Store - MG Road
SKU-0203,Ajrakh Coord Set (Mul mul),Coord Set,Ivory,S,SUP-001,2024-06-11,591,2072,1481,62,15,47,0.758,0.242,2024-08-21,102,173,0.0,0.61,999.0,77.32,69607,Critical,Store - Koramangala
SKU-0287,Block print Coord Set (Rayon),Coord Set,Sage green,XL,SUP-008,2024-06-19,542,1807,1265,87,13,74,0.851,0.149,2024-09-02,90,165,0.0,0.55,999.0,76.59,93610,Critical,Store - Koramangala
SKU-0475,Kalamkari Palazzo (Silk blend),Palazzo,Mauve,M,SUP-001,2024-07-28,271,673,402,35,3,32,0.914,0.086,2024-09-09,83,126,0.0,0.17,999.0,75.86,12864,Critical,Store - MG Road
SKU-0352,Mirror work Dupatta (Georgette),Dupatta,Ochre,XS,SUP-003,2024-06-17,207,619,412,139,14,125,0.899,0.101,2024-09-08,84,167,0.0,0.59,999.0,75.52,51500,Critical,Store - Koramangala
SKU-0072,Bandhani Kurta (Georgette),Kurta,Rust,XL,SUP-002,2024-08-20,440,1663,1223,121,4,117,0.967,0.033,2024-09-14,78,103,0.0,0.27,999.0,75.43,143091,Critical,Online - Instagram
SKU-0051,Mirror work Kurta (Cotton),Kurta,Blush pink,XL,SUP-005,2024-07-15,639,1045,406,30,6,24,0.8,0.2,2024-08-30,93,139,0.0,0.3,999.0,74.4,9744,Critical,Online - Instagram
SKU-0468,Chikankari Palazzo (Cotton),Palazzo,Ivory,M,SUP-010,2024-07-29,280,625,345,44,6,38,0.864,0.136,2024-09-09,83,125,0.0,0.34,999.0,71.71,13110,Critical,Store - Indiranagar
SKU-0479,Bagru print Palazzo (Chanderi),Palazzo,Terracotta,XS,SUP-009,2024-06-23,327,1026,699,37,4,33,0.892,0.108,2024-09-12,80,161,0.0,0.17,999.0,71.36,23067,Critical,Store - Koramangala
SKU-0206,Shibori Coord Set (Linen),Coord Set,Charcoal,XS,SUP-002,2024-07-07,816,2034,1218,105,2,103,0.981,0.019,2024-09-20,72,147,0.0,0.1,999.0,70.63,125454,Critical,Online - Instagram
SKU-0153,Dabu print Saree (Rayon),Saree,Mauve,M,SUP-008,2024-07-26,1492,5563,4071,40,6,34,0.85,0.15,2024-09-09,83,128,0.0,0.33,999.0,70.55,138414,Critical,Store - Indiranagar
SKU-0391,Dabu print Dress (Silk blend),Dress,Mauve,XL,SUP-008,2024-06-19,671,1203,532,57,16,41,0.719,0.281,2024-08-25,98,165,0.0,0.68,999.0,70.46,21812,Critical,Store - Koramangala
SKU-0131,Kalamkari Saree (Chanderi),Saree,Charcoal,M,SUP-004,2024-09-22,1960,5707,3747,54,0,54,1.0,0.0,2024-09-22,70,70,0.0,0.0,999.0,70.0,202338,Critical,
SKU-0216,Bandhani Coord Set (Rayon),Coord Set,Indigo,XL,SUP-001,2024-07-16,685,2669,1984,128,18,110,0.859,0.141,2024-09-12,80,138,0.0,0.91,999.0,68.72,218240,Critical,Store - Indiranagar
SKU-0087,Ajrakh Kurta (Mul mul),Kurta,Ivory,XXL,SUP-005,2024-07-18,467,1720,1253,123,9,114,0.927,0.073,2024-09-19,73,136,0.0,0.46,999.0,67.67,142842,Critical,Online - Website
SKU-0100,Dabu print Kurta (Linen),Kurta,Blush pink,M,SUP-007,2024-08-01,565,1335,770,32,7,25,0.781,0.219,2024-09-07,85,122,0.0,0.4,999.0,66.39,19250,Critical,Online - Nykaa
SKU-0244,Shibori Coord Set (Linen),Coord Set,Teal,L,SUP-010,2024-08-20,576,2043,1467,68,7,61,0.897,0.103,2024-09-18,74,103,0.0,0.48,999.0,66.38,89487,Critical,Store - Indiranagar
SKU-0204,Dabu print Coord Set (Linen),Coord Set,Teal,S,SUP-006,2024-07-25,732,1988,1256,132,9,123,0.932,0.068,2024-09-22,70,129,0.0,0.49,999.0,65.24,154488,Critical,Online - Website
SKU-0396,Shibori Dress (Silk blend),Dress,Indigo,XS,SUP-003,2024-06-28,494,1506,1012,82,13,69,0.841,0.159,2024-09-15,77,156,0.0,0.58,999.0,64.76,69828,Critical,Store - Koramangala
SKU-0410,Ajrakh Dress (Linen),Dress,Indigo,L,SUP-004,2024-06-11,473,1759,1286,82,13,69,0.841,0.159,2024-09-16,76,173,0.0,0.53,999.0,63.92,88734,Critical,Store - MG Road
SKU-0050,Kalamkari Kurta (Cotton),Kurta,Terracotta,S,SUP-001,2024-07-04,628,1076,448,140,31,109,0.779,0.221,2024-09-10,82,150,0.0,1.45,999.0,63.88,48832,Critical,Online - Nykaa
SKU-0246,Chikankari Coord Set (Linen),Coord Set,Ivory,L,SUP-008,2024-07-23,535,2507,1972,74,12,62,0.838,0.162,2024-09-16,76,131,0.0,0.64,999.0,63.69,122264,Critical,Store - MG Road
SKU-0253,Ajrakh Coord Set (Silk blend),Coord Set,Teal,XL,SUP-002,2024-06-18,577,2500,1923,96,25,71,0.74,0.26,2024-09-07,85,166,0.0,1.05,999.0,62.9,136533,Critical,Store - MG Road
SKU-0490,Dabu print Palazzo (Silk blend),Palazzo,Blush pink,L,SUP-001,2024-06-16,322,622,300,72,19,53,0.736,0.264,2024-09-10,82,168,0.0,0.79,999.0,60.35,15900,Critical,Store - Koramangala
SKU-0498,Mirror work Palazzo (Mul mul),Palazzo,Ivory,M,SUP-006,2024-07-06,203,763,560,143,13,130,0.909,0.091,2024-09-26,66,148,0.0,0.61,999.0,59.99,72800,Critical,Online - Nykaa
SKU-0414,Shibori Dress (Cotton),Dress,Rust,XS,SUP-002,2024-07-02,739,1767,1028,73,10,63,0.863,0.137,2024-09-23,69,152,0.0,0.46,999.0,59.55,64764,Critical,Online - Nykaa
SKU-0264,Ikat Coord Set (Cotton),Coord Set,Teal,S,SUP-002,2024-06-29,725,1908,1183,134,39,95,0.709,0.291,2024-09-09,83,155,0.0,1.76,999.0,58.85,112385,Critical,Online - Instagram
SKU-0245,Bagru print Coord Set (Cotton),Coord Set,Terracotta,XL,SUP-010,2024-09-08,896,1558,662,85,4,81,0.953,0.047,2024-10-01,61,84,0.0,0.33,999.0,58.13,53622,Critical,Online - Instagram
SKU-0152,Ajrakh Saree (Mul mul),Saree,Ochre,M,SUP-001,2024-10-03,1780,4881,3101,80,2,78,0.975,0.025,2024-10-03,59,59,0.0,0.24,999.0,57.52,241878,Critical,Online - Website
SKU-0446,Bandhani Dress (Mul mul),Dress,Terracotta,L,SUP-009,2024-08-17,574,1988,1414,83,8,75,0.904,0.096,2024-09-29,63,106,0.0,0.53,999.0,56.95,106050,Critical,Store - Koramangala
SKU-0194,Mirror work Saree (Silk blend),Saree,Charcoal,XL,SUP-003,2024-08-26,1668,6226,4558,30,3,27,0.9,0.1,2024-09-29,63,97,0.0,0.22,999.0,56.7,123066,Critical,Online - Instagram
SKU-0212,Mirror work Coord Set (Georgette),Coord Set,Ivory,L,SUP-001,2024-08-17,534,1844,1310,123,7,116,0.943,0.057,2024-10-02,60,106,0.0,0.46,999.0,56.58,151960,Critical,Online - Nykaa
SKU-0107,Chikankari Kurta (Mul mul),Kurta,Blush pink,XS,SUP-007,2024-09-09,626,1659,1033,32,4,28,0.875,0.125,2024-09-29,63,83,0.0,0.34,999.0,55.12,28924,Critical,Store - Indiranagar
SKU-0070,Bagru print Kurta (Rayon),Kurta,Ivory,XXL,SUP-004,2024-08-27,514,1371,857,46,6,40,0.87,0.13,2024-09-29,63,96,0.0,0.44,999.0,54.81,34280,Critical,Online - Nykaa
SKU-0349,Chikankari Dupatta (Cotton),Dupatta,Rust,L,SUP-002,2024-06-26,261,833,572,144,8,136,0.944,0.056,2024-10-04,58,158,0.0,0.35,999.0,54.75,77792,Critical,Store - MG Road
SKU-0392,Ikat Dress (Linen),Dress,Rust,M,SUP-005,2024-08-09,424,1756,1332,127,14,113,0.89,0.11,2024-10-01,61,114,0.0,0.86,999.0,54.29,150516,Critical,Store - Indiranagar
SKU-0455,Chikankari Palazzo (Linen),Palazzo,Charcoal,M,SUP-004,2024-06-24,335,917,582,44,17,27,0.614,0.386,2024-09-04,88,160,0.0,0.74,999.0,54.03,15714,Critical,Online - Instagram
SKU-0311,Mirror work Dupatta (Rayon),Dupatta,Sage green,M,SUP-004,2024-09-21,195,379,184,123,5,118,0.959,0.041,2024-10-06,56,71,0.0,0.49,999.0,53.7,21712,Critical,Online - Instagram
SKU-0187,Bandhani Saree (Linen),Saree,Teal,S,SUP-009,2024-09-09,2046,3207,1161,125,3,122,0.976,0.024,2024-10-07,55,83,0.0,0.25,999.0,53.68,141642,Critical,Online - Nykaa
SKU-0472,Bandhani Palazzo (Silk blend),Palazzo,Terracotta,XS,SUP-004,2024-09-15,212,789,577,124,8,116,0.935,0.065,2024-10-05,57,77,0.0,0.73,999.0,53.3,66932,Critical,Online - Nykaa
SKU-0262,Kalamkari Coord Set (Mul mul),Coord Set,Blush pink,L,SUP-001,2024-07-23,614,2527,1913,59,18,41,0.695,0.305,2024-09-16,76,131,0.0,0.96,999.0,52.82,78433,Critical,Online - Nykaa
SKU-0059,Dabu print Kurta (Chanderi),Kurta,Terracotta,XXL,SUP-002,2024-08-17,439,1725,1286,144,6,138,0.958,0.042,2024-10-08,54,106,0.0,0.4,999.0,51.73,177468,Critical,Store - Indiranagar
SKU-0365,Bagru print Dupatta (Linen),Dupatta,Rust,XL,SUP-004,2024-08-11,212,458,246,85,12,73,0.859,0.141,2024-10-02,60,112,0.0,0.75,999.0,51.54,17958,Critical,Online - Nykaa
SKU-0474,Bandhani Palazzo (Chanderi),Palazzo,Teal,M,SUP-003,2024-07-22,206,755,549,111,17,94,0.847,0.153,2024-10-02,60,132,0.0,0.9,999.0,50.82,51606,Critical,Online - Instagram
SKU-0441,Ajrakh Dress (Silk blend),Dress,Teal,XXL,SUP-006,2024-08-21,558,1456,898,111,21,90,0.811,0.189,2024-09-30,62,102,0.0,1.44,999.0,50.28,80820,Critical,Store - MG Road
SKU-0318,Block print Dupatta (Cotton),Dupatta,Sage green,XXL,SUP-009,2024-06-08,158,847,689,83,24,59,0.711,0.289,2024-09-22,70,176,0.0,0.95,999.0,49.77,40651,Critical,Online - Website
SKU-0035,Mirror work Kurta (Linen),Kurta,Rust,XXL,SUP-008,2024-06-13,371,1699,1328,56,26,30,0.536,0.464,2024-08-31,92,171,0.0,1.06,999.0,49.31,39840,Critical,Online - Instagram
SKU-0141,Bandhani Saree (Cotton),Saree,Blush pink,S,SUP-003,2024-09-12,1560,5510,3950,125,9,116,0.928,0.072,2024-10-09,53,80,0.0,0.79,999.0,49.18,458200,Critical,Online - Nykaa
SKU-0247,Chikankari Coord Set (Linen),Coord Set,Ochre,XL,SUP-006,2024-07-18,861,1958,1097,121,5,116,0.959,0.041,2024-10-11,51,136,0.0,0.26,999.0,48.91,127252,Critical,Online - Nykaa
SKU-0147,Bandhani Saree (Cotton),Saree,Charcoal,S,SUP-009,2024-07-27,927,4968,4041,132,33,99,0.75,0.25,2024-09-27,65,127,0.0,1.82,999.0,48.75,400059,Critical,Online - Instagram
SKU-0112,Kalamkari Kurta (Linen),Kurta,Sage green,XL,SUP-003,2024-10-11,491,1269,778,62,3,59,0.952,0.048,2024-10-11,51,51,0.0,0.41,999.0,48.55,45902,Critical,Store - MG Road
SKU-0470,Chikankari Palazzo (Mul mul),Palazzo,Blush pink,M,SUP-003,2024-06-09,277,819,542,35,19,16,0.457,0.543,2024-08-18,105,175,0.0,0.76,999.0,47.98,8672,Critical,Store - Indiranagar
SKU-0133,Shibori Saree (Georgette),Saree,Sage green,XXL,SUP-005,2024-06-19,1754,3405,1651,117,32,85,0.726,0.274,2024-09-26,66,165,0.0,1.36,999.0,47.92,140335,Critical,Store - MG Road
SKU-0094,Bagru print Kurta (Cotton),Kurta,Rust,M,SUP-002,2024-07-09,357,1309,952,90,26,64,0.711,0.289,2024-09-25,67,145,0.0,1.26,999.0,47.64,60928,Critical,Store - Koramangala
SKU-0132,Ajrakh Saree (Silk blend),Saree,Indigo,M,SUP-001,2024-07-06,874,2585,1711,72,25,47,0.653,0.347,2024-09-20,72,148,0.0,1.18,999.0,47.02,80417,Critical,Online - Website
SKU-0343,Shibori Dupatta (Rayon),Dupatta,Blush pink,S,SUP-006,2024-08-02,240,744,504,32,9,23,0.719,0.281,2024-09-27,65,121,0.0,0.52,999.0,46.74,11592,Critical,Online - Nykaa
SKU-0372,Ikat Dress (Chanderi),Dress,Mauve,M,SUP-008,2024-06-10,743,2089,1346,113,44,69,0.611,0.389,2024-09-16,76,174,0.0,1.77,999.0,46.44,92874,Critical,Store - Koramangala
SKU-0067,Kalamkari Kurta (Silk blend),Kurta,Teal,XL,SUP-002,2024-07-19,535,1347,812,140,24,116,0.829,0.171,2024-10-06,56,135,0.0,1.24,999.0,46.42,94192,Critical,Store - Indiranagar
SKU-0240,Mirror work Coord Set (Linen),Coord Set,Indigo,L,SUP-005,2024-08-23,542,2343,1801,52,7,45,0.865,0.135,2024-10-09,53,100,0.0,0.49,999.0,45.84,81045,Critical,Online - Website
SKU-0136,Bagru print Saree (Silk blend),Saree,Ivory,XL,SUP-008,2024-07-18,1964,3189,1225,48,5,43,0.896,0.104,2024-10-11,51,136,0.0,0.26,999.0,45.7,52675,Critical,Online - Website
SKU-0234,Ajrakh Coord Set (Rayon),Coord Set,Ochre,XXL,SUP-004,2024-09-11,576,2582,2006,131,5,126,0.962,0.038,2024-10-15,47,81,0.0,0.43,999.0,45.21,252756,Critical,Online - Website
SKU-0312,Ikat Dupatta (Cotton),Dupatta,Charcoal,L,SUP-006,2024-06-25,232,532,300,74,16,58,0.784,0.216,2024-10-05,57,159,0.0,0.7,999.0,44.69,17400,Critical,Store - Koramangala
SKU-0089,Mirror work Kurta (Mul mul),Kurta,Indigo,XXL,SUP-002,2024-08-07,415,1024,609,127,18,109,0.858,0.142,2024-10-10,52,116,0.0,1.09,999.0,44.62,66381,Critical,Store - Koramangala
SKU-0138,Bandhani Saree (Georgette),Saree,Sage green,XS,SUP-008,2024-06-05,1936,4361,2425,58,33,25,0.431,0.569,2024-08-21,102,179,0.0,1.29,999.0,43.96,60625,Critical,Store - Indiranagar
SKU-0233,Block print Coord Set (Cotton),Coord Set,Charcoal,XL,SUP-009,2024-09-06,691,1974,1283,146,7,139,0.952,0.048,2024-10-16,46,86,0.0,0.57,999.0,43.79,178337,Critical,Store - Indiranagar
SKU-0371,Chikankari Dress (Cotton),Dress,Sage green,S,SUP-002,2024-08-23,427,1958,1531,95,14,81,0.853,0.147,2024-10-11,51,100,0.0,0.98,999.0,43.5,124011,Critical,Online - Instagram
SKU-0184,Shibori Saree (Silk blend),Saree,Teal,S,SUP-010,2024-09-21,806,2756,1950,61,6,55,0.902,0.098,2024-10-14,48,71,0.0,0.59,999.0,43.3,107250,Critical,Store - Indiranagar
SKU-0038,Block print Kurta (Linen),Kurta,Mauve,M,SUP-001,2024-08-17,386,1229,843,145,25,120,0.828,0.172,2024-10-10,52,106,0.0,1.65,999.0,43.06,101160,Critical,Online - Website
SKU-0417,Block print Dress (Mul mul),Dress,Ivory,L,SUP-009,2024-08-09,654,2136,1482,123,32,91,0.74,0.26,2024-10-04,58,114,0.0,1.96,999.0,42.92,134862,Critical,Online - Website
SKU-0085,Shibori Kurta (Linen),Kurta,Ivory,M,SUP-004,2024-09-01,494,1034,540,91,19,72,0.791,0.209,2024-10-08,54,91,0.0,1.46,999.0,42.71,38880,Critical,Store - Koramangala
SKU-0117,Bandhani Kurta (Rayon),Kurta,Mauve,XL,SUP-003,2024-10-19,619,1777,1158,107,1,106,0.991,0.009,2024-10-19,43,43,0.0,0.16,999.0,42.61,122748,Critical,Store - Indiranagar
SKU-0497,Kalamkari Palazzo (Georgette),Palazzo,Indigo,S,SUP-006,2024-08-03,363,801,438,40,15,25,0.625,0.375,2024-09-24,68,120,0.0,0.88,999.0,42.5,10950,Critical,Store - MG Road
SKU-0128,Dabu print Saree (Cotton),Saree,Ochre,M,SUP-008,2024-10-18,1808,2803,995,70,3,67,0.957,0.043,2024-10-18,44,44,0.0,0.48,999.0,42.11,66665,Critical,Online - Instagram
SKU-0326,Ajrakh Dupatta (Rayon),Dupatta,Sage green,S,SUP-009,2024-06-10,247,745,498,100,42,58,0.58,0.42,2024-09-20,72,174,0.0,1.69,999.0,41.76,28884,Critical,Store - MG Road
SKU-0182,Bagru print Saree (Mul mul),Saree,Ivory,M,SUP-009,2024-06-24,2112,3485,1373,42,15,27,0.643,0.357,2024-09-28,64,160,0.0,0.66,999.0,41.15,37071,Critical,Store - Koramangala
SKU-0145,Ikat Saree (Rayon),Saree,Mauve,XXL,SUP-009,2024-07-01,1506,5390,3884,127,34,93,0.732,0.268,2024-10-07,55,153,0.0,1.56,999.0,40.26,361212,Critical,Online - Instagram
SKU-0374,Mirror work Dress (Cotton),Dress,Charcoal,L,SUP-003,2024-09-28,726,2009,1283,113,9,104,0.92,0.08,2024-10-19,43,64,0.0,0.98,999.0,39.56,133432,Warning,Online - Instagram
SKU-0098,Block print Kurta (Chanderi),Kurta,Sage green,XS,SUP-008,2024-08-03,405,1299,894,142,41,101,0.711,0.289,2024-10-07,55,120,0.0,2.39,999.0,39.1,90294,Critical,Store - Indiranagar
SKU-0151,Shibori Saree (Rayon),Saree,Teal,S,SUP-001,2024-08-12,1445,6463,5018,55,17,38,0.691,0.309,2024-10-06,56,111,0.0,1.07,999.0,38.7,190684,Critical,Store - Indiranagar
SKU-0495,Shibori Palazzo (Georgette),Palazzo,Ivory,L,SUP-001,2024-07-07,272,1058,786,83,39,44,0.53,0.47,2024-09-19,73,147,0.0,1.86,999.0,38.69,34584,Critical,Store - Koramangala
SKU-0227,Shibori Coord Set (Georgette),Coord Set,Blush pink,M,SUP-002,2024-09-29,625,1616,991,52,3,49,0.942,0.058,2024-10-22,40,63,0.0,0.33,999.0,37.68,48559,Warning,Store - MG Road
SKU-0466,Mirror work Palazzo (Cotton),Palazzo,Teal,S,SUP-007,2024-07-18,295,972,677,86,37,49,0.57,0.43,2024-09-26,66,136,0.0,1.9,999.0,37.62,33173,Critical,Store - MG Road
SKU-0388,Mirror work Dress (Rayon),Dress,Teal,M,SUP-003,2024-08-01,724,1773,1049,71,22,49,0.69,0.31,2024-10-08,54,122,0.0,1.26,999.0,37.26,51401,Critical,Online - Nykaa
SKU-0257,Ajrakh Coord Set (Mul mul),Coord Set,Mauve,L,SUP-005,2024-09-19,695,1960,1265,37,5,32,0.865,0.135,2024-10-19,43,73,0.0,0.48,999.0,37.2,40480,Warning,Store - Indiranagar
SKU-0438,Dabu print Dress (Linen),Dress,Rust,XXL,SUP-006,2024-09-01,505,1545,1040,122,14,108,0.885,0.115,2024-10-20,42,91,0.0,1.08,999.0,37.17,112320,Warning,Online - Instagram
SKU-0256,Ikat Coord Set (Silk blend),Coord Set,Charcoal,XS,SUP-006,2024-08-13,535,2143,1608,70,11,59,0.843,0.157,2024-10-18,44,110,0.0,0.7,999.0,37.09,94872,Warning,Online - Nykaa
SKU-0093,Bandhani Kurta (Georgette),Kurta,Charcoal,M,SUP-006,2024-07-15,402,1399,997,45,13,32,0.711,0.289,2024-10-10,52,139,0.0,0.65,999.0,36.97,31904,Critical,Online - Nykaa
SKU-0314,Shibori Dupatta (Mul mul),Dupatta,Terracotta,S,SUP-003,2024-09-10,209,749,540,106,6,100,0.943,0.057,2024-10-23,39,82,0.0,0.51,999.0,36.78,54000,Warning,Online - Instagram
SKU-0195,Ajrakh Saree (Rayon),Saree,Rust,XS,SUP-009,2024-06-05,1369,6163,4794,53,32,21,0.396,0.604,2024-09-01,91,179,0.0,1.25,999.0,36.04,100674,Critical,Online - Nykaa
SKU-0095,Kalamkari Kurta (Rayon),Kurta,Indigo,L,SUP-010,2024-06-24,471,1000,529,90,39,51,0.567,0.433,2024-10-02,60,160,0.0,1.71,999.0,34.02,26979,Critical,Online - Nykaa
SKU-0005,Chikankari Kurta (Chanderi),Kurta,Sage green,XS,SUP-002,2024-09-06,484,970,486,38,15,23,0.605,0.395,2024-10-07,55,86,0.0,1.22,999.0,33.28,11178,Critical,Store - MG Road
