sku_id,snapshot_date,units_purchased,units_sold_total,units_on_hand,last_sale_date
SKU-0098,2024-12-01,142,41,101,2024-10-07
SKU-0099,2024-12-01,107,21,86,2024-11-03
SKU-0100,2024-12-01,32,7,25,2024-09-07
SKU-0101,2024-12-01,44,15,29,2024-10-12
SKU-0102,2024-12-01,115,43,72,2024-12-01
SKU-0103,2024-12-01,39,14,25,2024-11-10
SKU-0104,2024-12-01,140,105,35,2024-11-14
SKU-0105,2024-12-01,55,19,36,2024-10-23
SKU-0106,2024-12-01,51,41,10,2024-10-27
SKU-0107,2024-12-01,32,4,28,2024-09-29
SKU-0108,2024-12-01,113,27,86,2024-11-27
SKU-0109,2024-12-01,131,5,126,2024-11-29
SKU-0110,2024-12-01,99,54,45,2024-11-08
SKU-0111,2024-12-01,119,21,98,2024-11-30
SKU-0112,2024-12-01,62,3,59,2024-10-11
SKU-0113,2024-12-01,31,20,11,2024-11-29
SKU-0114,2024-12-01,67,27,40,2024-10-27
SKU-0115,2024-12-01,149,69,80,2024-11-30
SKU-0116,2024-12-01,130,48,82,2024-11-30
SKU-0117,2024-12-01,107,1,106,2024-10-19
SKU-0118,2024-12-01,67,57,10,2024-10-18
SKU-0119,2024-12-01,95,5,90,2024-07-30
SKU-0120,2024-12-01,80,33,47,2024-11-30
SKU-0121,2024-12-01,130,5,125,2024-08-23
SKU-0122,2024-12-01,126,43,83,2024-11-10
SKU-0123,2024-12-01,44,21,23,2024-10-03
SKU-0124,2024-12-01,144,22,122,2024-11-29
SKU-0125,2024-12-01,101,55,46,2024-11-30
SKU-0126,2024-12-01,118,79,39,2024-11-26
SKU-0127,2024-12-01,135,40,95,2024-11-30
SKU-0128,2024-12-01,70,3,67,2024-10-18
SKU-0129,2024-12-01,83,53,30,2024-11-24
SKU-0130,2024-12-01,82,11,71,2024-11-29
SKU-0131,2024-12-01,54,0,54,2024-09-22
SKU-0132,2024-12-01,72,25,47,2024-09-20
SKU-0133,2024-12-01,117,32,85,2024-09-26
SKU-0134,2024-12-01,100,73,27,2024-10-05
SKU-0135,2024-12-01,30,4,26,2024-08-03
SKU-0136,2024-12-01,48,5,43,2024-10-11
SKU-0137,2024-12-01,121,19,102,2024-11-03
SKU-0138,2024-12-01,58,33,25,2024-08-21
SKU-0139,2024-12-01,36,26,10,2024-09-25
SKU-0140,2024-12-01,83,29,54,2024-11-02
SKU-0141,2024-12-01,125,9,116,2024-10-09
SKU-0142,2024-12-01,43,24,19,2024-09-29
SKU-0143,2024-12-01,141,22,119,2024-12-01
SKU-0144,2024-12-01,31,21,10,2024-10-14
SKU-0145,2024-12-01,127,34,93,2024-10-07
SKU-0146,2024-12-01,88,52,36,2024-10-07
SKU-0147,2024-12-01,132,33,99,2024-09-27
SKU-0148,2024-12-01,47,19,28,2024-12-01
SKU-0149,2024-12-01,66,39,27,2024-11-13
SKU-0150,2024-12-01,60,9,51,2024-08-21
SKU-0151,2024-12-01,55,17,38,2024-10-06
SKU-0152,2024-12-01,80,2,78,2024-10-03
SKU-0153,2024-12-01,40,6,34,2024-09-09
SKU-0154,2024-12-01,140,51,89,2024-12-01
SKU-0155,2024-12-01,91,51,40,2024-12-01
SKU-0156,2024-12-01,46,40,6,2024-10-15
SKU-0157,2024-12-01,143,104,39,2024-11-09
SKU-0158,2024-12-01,90,56,34,2024-11-08
SKU-0159,2024-12-01,124,11,113,2024-10-28
SKU-0160,2024-12-01,134,58,76,2024-11-11
SKU-0161,2024-12-01,115,22,93,2024-11-30
SKU-0162,2024-12-01,143,23,120,2024-12-01
SKU-0163,2024-12-01,132,94,38,2024-11-30
SKU-0164,2024-12-01,72,33,39,2024-10-06
SKU-0165,2024-12-01,122,78,44,2024-10-21
SKU-0166,2024-12-01,84,3,81,2024-08-20
SKU-0167,2024-12-01,75,19,56,2024-11-29
SKU-0168,2024-12-01,39,18,21,2024-10-22
SKU-0169,2024-12-01,32,22,10,2024-10-23
SKU-0170,2024-12-01,82,65,17,2024-11-17
SKU-0171,2024-12-01,68,37,31,2024-09-29
SKU-0172,2024-12-01,88,12,76,2024-11-29
SKU-0173,2024-12-01,70,43,27,2024-09-22
SKU-0174,2024-12-01,76,23,53,2024-11-30
SKU-0175,2024-12-01,64,14,50,2024-11-29
SKU-0176,2024-12-01,140,35,105,2024-11-30
SKU-0177,2024-12-01,96,22,74,2024-10-23
SKU-0178,2024-12-01,117,26,91,2024-11-30
SKU-0179,2024-12-01,99,22,77,2024-11-30
SKU-0180,2024-12-01,74,40,34,2024-11-30
SKU-0181,2024-12-01,120,78,42,2024-11-03
SKU-0182,2024-12-01,42,15,27,2024-09-28
SKU-0183,2024-12-01,89,31,58,2024-10-17
SKU-0184,2024-12-01,61,6,55,2024-10-14
SKU-0185,2024-12-01,107,15,92,2024-08-24
SKU-0186,2024-12-01,133,5,128,2024-11-28
SKU-0187,2024-12-01,125,3,122,2024-10-07
SKU-0188,2024-12-01,125,92,33,2024-09-06
SKU-0189,2024-12-01,147,93,54,2024-12-01
SKU-0190,2024-12-01,81,49,32,2024-10-04
SKU-0191,2024-12-01,116,5,111,2024-11-28
SKU-0192,2024-12-01,61,1,60,2024-11-14
SKU-0193,2024-12-01,76,8,68,2024-11-27
SKU-0194,2024-12-01,30,3,27,2024-09-29
SKU-0195,2024-12-01,53,32,21,2024-09-01
SKU-0196,2024-12-01,37,20,17,2024-11-08
SKU-0197,2024-12-01,53,14,39,2024-10-29
SKU-0198,2024-12-01,129,106,23,2024-09-18
SKU-0199,2024-12-01,117,82,35,2024-11-23
SKU-0200,2024-12-01,139,85,54,2024-11-30
SKU-0201,2024-12-01,40,12,28,2024-11-07
SKU-0202,2024-12-01,115,54,61,2024-12-01
SKU-0203,2024-12-01,62,15,47,2024-08-21
SKU-0204,2024-12-01,132,9,123,2024-09-22
SKU-0205,2024-12-01,133,102,31,2024-09-30
SKU-0206,2024-12-01,105,2,103,2024-09-20
SKU-0207,2024-12-01,87,54,33,2024-10-08
SKU-0208,2024-12-01,43,20,23,2024-10-18
SKU-0209,2024-12-01,84,12,72,2024-11-29
SKU-0210,2024-12-01,99,72,27,2024-10-20
SKU-0211,2024-12-01,144,48,96,2024-11-29
SKU-0212,2024-12-01,123,7,116,2024-10-02
SKU-0213,2024-12-01,89,12,77,2024-11-22
SKU-0214,2024-12-01,129,107,22,2024-11-20
SKU-0215,2024-12-01,144,16,128,2024-08-20
SKU-0216,2024-12-01,128,18,110,2024-09-12
SKU-0217,2024-12-01,67,46,21,2024-11-01
SKU-0218,2024-12-01,132,23,109,2024-10-30
SKU-0219,2024-12-01,34,3,31,2024-09-01
SKU-0220,2024-12-01,122,4,118,2024-09-11
SKU-0221,2024-12-01,72,55,17,2024-10-19
SKU-0222,2024-12-01,76,55,21,2024-10-31
SKU-0223,2024-12-01,137,21,116,2024-11-14
SKU-0224,2024-12-01,49,33,16,2024-09-10
SKU-0225,2024-12-01,88,11,77,2024-12-01
SKU-0226,2024-12-01,72,26,46,2024-11-30
SKU-0227,2024-12-01,52,3,49,2024-10-22
SKU-0228,2024-12-01,37,32,5,2024-09-13
SKU-0229,2024-12-01,84,27,57,2024-12-01
SKU-0230,2024-12-01,76,8,68,2024-07-26
SKU-0231,2024-12-01,48,21,27,2024-10-16
SKU-0232,2024-12-01,143,13,130,2024-11-17
SKU-0233,2024-12-01,146,7,139,2024-10-16
SKU-0234,2024-12-01,131,5,126,2024-10-15
SKU-0235,2024-12-01,100,18,82,2024-11-30
SKU-0236,2024-12-01,89,13,76,2024-09-01
SKU-0237,2024-12-01,95,27,68,2024-12-01
SKU-0238,2024-12-01,122,89,33,2024-11-27
SKU-0239,2024-12-01,44,25,19,2024-11-30
SKU-0240,2024-12-01,52,7,45,2024-10-09
SKU-0241,2024-12-01,44,19,25,2024-10-28
SKU-0242,2024-12-01,141,118,23,2024-10-29
SKU-0243,2024-12-01,31,7,24,2024-11-22
SKU-0244,2024-12-01,68,7,61,2024-09-18
SKU-0245,2024-12-01,85,4,81,2024-10-01
SKU-0246,2024-12-01,74,12,62,2024-09-16
SKU-0247,2024-12-01,121,5,116,2024-10-11
SKU-0248,2024-12-01,101,28,73,2024-12-01
SKU-0249,2024-12-01,53,39,14,2024-11-06
SKU-0250,2024-12-01,84,46,38,2024-10-29
SKU-0251,2024-12-01,50,42,8,2024-11-18
SKU-0252,2024-12-01,102,9,93,2024-08-21
SKU-0253,2024-12-01,96,25,71,2024-09-07
SKU-0254,2024-12-01,53,40,13,2024-10-01
SKU-0255,2024-12-01,138,29,109,2024-11-30
SKU-0256,2024-12-01,70,11,59,2024-10-18
SKU-0257,2024-12-01,37,5,32,2024-10-19
SKU-0258,2024-12-01,116,30,86,2024-11-29
SKU-0259,2024-12-01,37,24,13,2024-10-06
SKU-0260,2024-12-01,84,28,56,2024-10-23
SKU-0261,2024-12-01,121,81,40,2024-09-10
SKU-0262,2024-12-01,59,18,41,2024-09-16
SKU-0263,2024-12-01,145,105,40,2024-10-01
SKU-0264,2024-12-01,134,39,95,2024-09-09
SKU-0265,2024-12-01,111,41,70,2024-11-27
SKU-0266,2024-12-01,145,81,64,2024-10-09
SKU-0267,2024-12-01,59,26,33,2024-11-15
SKU-0268,2024-12-01,95,81,14,2024-11-30
SKU-0269,2024-12-01,54,35,19,2024-08-30
SKU-0270,2024-12-01,139,73,66,2024-11-30
SKU-0271,2024-12-01,50,35,15,2024-10-03
SKU-0272,2024-12-01,89,31,58,2024-11-07
SKU-0273,2024-12-01,118,56,62,2024-11-29
SKU-0274,2024-12-01,112,22,90,2024-11-29
SKU-0275,2024-12-01,33,28,5,2024-09-12
SKU-0276,2024-12-01,65,38,27,2024-09-28
SKU-0277,2024-12-01,43,8,35,2024-10-25
SKU-0278,2024-12-01,108,64,44,2024-10-22
SKU-0279,2024-12-01,119,28,91,2024-11-28
SKU-0280,2024-12-01,142,35,107,2024-10-25
SKU-0281,2024-12-01,63,53,10,2024-10-07
SKU-0282,2024-12-01,58,31,27,2024-10-04
SKU-0283,2024-12-01,30,6,24,2024-11-07
SKU-0284,2024-12-01,50,9,41,2024-10-29
SKU-0285,2024-12-01,89,24,65,2024-11-28
SKU-0286,2024-12-01,116,43,73,2024-11-30
SKU-0287,2024-12-01,87,13,74,2024-09-02
SKU-0288,2024-12-01,136,87,49,2024-10-06
SKU-0289,2024-12-01,124,74,50,2024-10-25
SKU-0290,2024-12-01,65,4,61,2024-07-30
SKU-0291,2024-12-01,91,69,22,2024-11-12
SKU-0292,2024-12-01,42,4,38,2024-11-24
SKU-0293,2024-12-01,47,28,19,2024-10-01
SKU-0294,2024-12-01,59,18,41,2024-10-26
SKU-0295,2024-12-01,61,40,21,2024-11-20
SKU-0296,2024-12-01,37,28,9,2024-11-27
SKU-0297,2024-12-01,51,33,18,2024-09-23
SKU-0298,2024-12-01,124,46,78,2024-12-01
SKU-0299,2024-12-01,48,31,17,2024-11-16
SKU-0300,2024-12-01,135,48,87,2024-12-01
SKU-0301,2024-12-01,128,106,22,2024-10-15
SKU-0302,2024-12-01,120,67,53,2024-10-07
SKU-0303,2024-12-01,119,99,20,2024-11-01
SKU-0304,2024-12-01,49,27,22,2024-12-01
SKU-0305,2024-12-01,140,77,63,2024-12-01
SKU-0306,2024-12-01,131,5,126,2024-11-23
SKU-0307,2024-12-01,89,62,27,2024-10-12
SKU-0308,2024-12-01,117,18,99,2024-11-25
SKU-0309,2024-12-01,63,40,23,2024-10-29
SKU-0310,2024-12-01,138,112,26,2024-10-25
SKU-0311,2024-12-01,123,5,118,2024-10-06
SKU-0312,2024-12-01,74,16,58,2024-10-05
SKU-0313,2024-12-01,38,16,22,2024-11-29
SKU-0314,2024-12-01,106,6,100,2024-10-23
SKU-0315,2024-12-01,146,88,58,2024-11-18
SKU-0316,2024-12-01,113,27,86,2024-11-30
SKU-0317,2024-12-01,132,13,119,2024-10-31
SKU-0318,2024-12-01,83,24,59,2024-09-22
SKU-0319,2024-12-01,137,33,104,2024-11-28
SKU-0320,2024-12-01,39,26,13,2024-10-18
SKU-0321,2024-12-01,74,0,74,2024-08-04
SKU-0322,2024-12-01,79,33,46,2024-11-03
SKU-0323,2024-12-01,55,40,15,2024-10-06
SKU-0324,2024-12-01,98,47,51,2024-10-05
SKU-0325,2024-12-01,114,12,102,2024-09-02
SKU-0326,2024-12-01,100,42,58,2024-09-20
SKU-0327,2024-12-01,72,0,72,2024-08-29
SKU-0328,2024-12-01,103,31,72,2024-12-01
SKU-0329,2024-12-01,45,2,43,2024-11-24
SKU-0330,2024-12-01,128,93,35,2024-10-19
SKU-0331,2024-12-01,139,6,133,2024-11-10
SKU-0332,2024-12-01,69,8,61,2024-08-06
SKU-0333,2024-12-01,32,21,11,2024-11-06
SKU-0334,2024-12-01,118,6,112,2024-11-08
SKU-0335,2024-12-01,37,32,5,2024-09-23
SKU-0336,2024-12-01,111,50,61,2024-11-30
SKU-0337,2024-12-01,56,16,40,2024-11-30
SKU-0338,2024-12-01,33,20,13,2024-11-03
SKU-0339,2024-12-01,146,11,135,2024-11-23
SKU-0340,2024-12-01,56,30,26,2024-12-01
SKU-0341,2024-12-01,55,38,17,2024-09-10
SKU-0342,2024-12-01,89,13,76,2024-12-01
SKU-0343,2024-12-01,32,9,23,2024-09-27
SKU-0344,2024-12-01,114,50,64,2024-12-01
SKU-0345,2024-12-01,98,25,73,2024-10-30
SKU-0346,2024-12-01,95,76,19,2024-10-29
SKU-0347,2024-12-01,87,74,13,2024-10-01
SKU-0348,2024-12-01,75,17,58,2024-11-14
SKU-0349,2024-12-01,144,8,136,2024-10-04
SKU-0350,2024-12-01,146,65,81,2024-11-08
SKU-0351,2024-12-01,69,39,30,2024-11-20
SKU-0352,2024-12-01,139,14,125,2024-09-08
SKU-0353,2024-12-01,107,34,73,2024-11-29
SKU-0354,2024-12-01,67,58,9,2024-10-13
SKU-0355,2024-12-01,43,14,29,2024-11-21
SKU-0356,2024-12-01,31,21,10,2024-10-14
SKU-0357,2024-12-01,77,8,69,2024-08-31
SKU-0358,2024-12-01,130,13,117,2024-11-25
SKU-0359,2024-12-01,74,18,56,2024-11-30
SKU-0360,2024-12-01,81,62,19,2024-11-04
SKU-0361,2024-12-01,33,2,31,2024-11-15
SKU-0362,2024-12-01,117,71,46,2024-10-30
SKU-0363,2024-12-01,54,2,52,2024-08-05
SKU-0364,2024-12-01,94,20,74,2024-11-30
SKU-0365,2024-12-01,85,12,73,2024-10-02
SKU-0366,2024-12-01,126,67,59,2024-11-30
SKU-0367,2024-12-01,134,23,111,2024-11-04
SKU-0368,2024-12-01,88,22,66,2024-11-29
SKU-0369,2024-12-01,105,90,15,2024-09-29
SKU-0370,2024-12-01,98,79,19,2024-10-10
SKU-0371,2024-12-01,95,14,81,2024-10-11
SKU-0372,2024-12-01,113,44,69,2024-09-16
SKU-0373,2024-12-01,103,1,102,2024-07-19
SKU-0374,2024-12-01,113,9,104,2024-10-19
SKU-0375,2024-12-01,70,17,53,2024-11-29
SKU-0376,2024-12-01,91,31,60,2024-11-05
SKU-0377,2024-12-01,83,50,33,2024-09-17
SKU-0378,2024-12-01,59,35,24,2024-10-22
SKU-0379,2024-12-01,86,17,69,2024-08-24
SKU-0380,2024-12-01,85,45,40,2024-12-01
SKU-0381,2024-12-01,121,75,46,2024-10-10
SKU-0382,2024-12-01,85,30,55,2024-11-28
SKU-0383,2024-12-01,117,44,73,2024-11-30
SKU-0384,2024-12-01,80,49,31,2024-11-15
SKU-0385,2024-12-01,66,9,57,2024-10-26
SKU-0386,2024-12-01,102,85,17,2024-10-28
SKU-0387,2024-12-01,66,21,45,2024-10-27
SKU-0388,2024-12-01,71,22,49,2024-10-08
SKU-0389,2024-12-01,30,21,9,2024-10-12
SKU-0390,2024-12-01,128,17,111,2024-10-30
SKU-0391,2024-12-01,57,16,41,2024-08-25
SKU-0392,2024-12-01,127,14,113,2024-10-01
SKU-0393,2024-12-01,110,60,50,2024-09-21
SKU-0394,2024-12-01,48,12,36,2024-11-04
SKU-0395,2024-12-01,131,77,54,2024-12-01
SKU-0396,2024-12-01,82,13,69,2024-09-15
SKU-0397,2024-12-01,77,47,30,2024-11-06
SKU-0398,2024-12-01,96,56,40,2024-10-31
SKU-0399,2024-12-01,72,51,21,2024-12-01
SKU-0400,2024-12-01,64,7,57,2024-11-01
SKU-0401,2024-12-01,133,65,68,2024-12-01
SKU-0402,2024-12-01,30,3,27,2024-08-25
SKU-0403,2024-12-01,64,44,20,2024-09-23
SKU-0404,2024-12-01,59,51,8,2024-10-10
SKU-0405,2024-12-01,46,22,24,2024-11-21
SKU-0406,2024-12-01,116,13,103,2024-11-29
SKU-0407,2024-12-01,134,84,50,2024-09-27
SKU-0408,2024-12-01,54,1,53,2024-11-05
SKU-0409,2024-12-01,101,74,27,2024-11-05
SKU-0410,2024-12-01,82,13,69,2024-09-16
SKU-0411,2024-12-01,111,6,105,2024-11-29
SKU-0412,2024-12-01,122,74,48,2024-09-19
SKU-0413,2024-12-01,98,44,54,2024-11-19
SKU-0414,2024-12-01,73,10,63,2024-09-23
SKU-0415,2024-12-01,66,42,24,2024-11-09
SKU-0416,2024-12-01,114,2,112,2024-06-14
SKU-0417,2024-12-01,123,32,91,2024-10-04
SKU-0418,2024-12-01,130,20,110,2024-11-11
SKU-0419,2024-12-01,137,44,93,2024-12-01
SKU-0420,2024-12-01,67,5,62,2024-09-02
SKU-0421,2024-12-01,37,31,6,2024-10-08
SKU-0422,2024-12-01,83,1,82,2024-11-15
SKU-0423,2024-12-01,83,14,69,2024-11-29
SKU-0424,2024-12-01,31,25,6,2024-11-13
SKU-0425,2024-12-01,145,107,38,2024-10-10
SKU-0426,2024-12-01,113,2,111,2024-06-18
SKU-0427,2024-12-01,88,75,13,2024-10-22
SKU-0428,2024-12-01,62,45,17,2024-08-28
SKU-0429,2024-12-01,102,35,67,2024-11-21
SKU-0430,2024-12-01,88,13,75,2024-11-30
SKU-0431,2024-12-01,73,41,32,2024-09-26
SKU-0432,2024-12-01,125,95,30,2024-11-16
SKU-0433,2024-12-01,135,34,101,2024-12-01
SKU-0434,2024-12-01,78,48,30,2024-10-02
SKU-0435,2024-12-01,55,47,8,2024-10-20
SKU-0436,2024-12-01,79,69,10,2024-10-24
SKU-0437,2024-12-01,91,67,24,2024-12-01
SKU-0438,2024-12-01,122,14,108,2024-10-20
SKU-0439,2024-12-01,70,50,20,2024-10-11
SKU-0440,2024-12-01,105,93,12,2024-11-10
SKU-0441,2024-12-01,111,21,90,2024-09-30
SKU-0442,2024-12-01,148,120,28,2024-12-01
SKU-0443,2024-12-01,110,23,87,2024-12-01
SKU-0444,2024-12-01,65,0,65,2024-08-24
SKU-0445,2024-12-01,130,94,36,2024-11-13
SKU-0446,2024-12-01,83,8,75,2024-09-29
SKU-0447,2024-12-01,142,25,117,2024-11-28
SKU-0448,2024-12-01,132,104,28,2024-10-02
SKU-0449,2024-12-01,82,20,62,2024-11-30
SKU-0450,2024-12-01,145,84,61,2024-11-07
SKU-0451,2024-12-01,46,38,8,2024-10-28
SKU-0452,2024-12-01,128,75,53,2024-11-14
SKU-0453,2024-12-01,34,4,30,2024-08-27
SKU-0454,2024-12-01,138,115,23,2024-11-03
SKU-0455,2024-12-01,44,17,27,2024-09-04
SKU-0456,2024-12-01,53,4,49,2024-11-14
SKU-0457,2024-12-01,91,54,37,2024-10-21
SKU-0458,2024-12-01,36,24,12,2024-10-28
SKU-0459,2024-12-01,121,83,38,2024-11-30
SKU-0460,2024-12-01,59,48,11,2024-09-21
SKU-0461,2024-12-01,129,114,15,2024-11-30
SKU-0462,2024-12-01,60,41,19,2024-11-29
SKU-0463,2024-12-01,115,11,104,2024-11-24
SKU-0464,2024-12-01,142,94,48,2024-11-25
SKU-0465,2024-12-01,44,27,17,2024-11-03
SKU-0466,2024-12-01,86,37,49,2024-09-26
SKU-0467,2024-12-01,32,23,9,2024-10-08
SKU-0468,2024-12-01,44,6,38,2024-09-09
SKU-0469,2024-12-01,64,43,21,2024-10-11
SKU-0470,2024-12-01,35,19,16,2024-08-18
SKU-0471,2024-12-01,133,77,56,2024-11-07
SKU-0472,2024-12-01,124,8,116,2024-10-05
SKU-0473,2024-12-01,101,11,90,2024-11-30
SKU-0474,2024-12-01,111,17,94,2024-10-02
SKU-0475,2024-12-01,35,3,32,2024-09-09
SKU-0476,2024-12-01,91,57,34,2024-11-21
SKU-0477,2024-12-01,97,36,61,2024-12-01
SKU-0478,2024-12-01,48,27,21,2024-10-08
SKU-0479,2024-12-01,37,4,33,2024-09-12
SKU-0480,2024-12-01,98,31,67,2024-11-29
SKU-0481,2024-12-01,109,21,88,2024-10-22
SKU-0482,2024-12-01,49,8,41,2024-11-10
SKU-0483,2024-12-01,63,55,8,2024-10-19
SKU-0484,2024-12-01,88,41,47,2024-11-30
SKU-0485,2024-12-01,39,15,24,2024-11-30
SKU-0486,2024-12-01,51,20,31,2024-11-04
SKU-0487,2024-12-01,65,19,46,2024-11-27
SKU-0488,2024-12-01,143,92,51,2024-11-30
SKU-0489,2024-12-01,122,2,120,2024-06-08
SKU-0490,2024-12-01,72,19,53,2024-09-10
SKU-0491,2024-12-01,139,26,113,2024-11-28
SKU-0492,2024-12-01,62,46,16,2024-11-26
SKU-0493,2024-12-01,65,0,65,2024-08-28
SKU-0494,2024-12-01,80,47,33,2024-10-17
SKU-0495,2024-12-01,83,39,44,2024-09-19
SKU-0496,2024-12-01,69,48,21,2024-10-30
SKU-0497,2024-12-01,40,15,25,2024-09-24
SKU-0498,2024-12-01,143,13,130,2024-09-26
SKU-0499,2024-12-01,121,104,17,2024-11-17
SKU-0500,2024-12-01,30,5,25,2024-08-25
