sku_id,product_name,category,color,size,cost_price,mrp,supplier_id,launch_date,units_purchased
SKU-0102,Dabu print Kurta (Georgette),Kurta,Charcoal,XS,541,1580,SUP-007,2024-10-21,115
SKU-0103,Block print Kurta (Rayon),Kurta,Sage green,XS,475,1761,SUP-004,2024-10-24,39
SKU-0104,Ajrakh Kurta (Georgette),Kurta,Sage green,XXL,416,1182,SUP-002,2024-08-01,140
SKU-0105,Dabu print Kurta (Cotton),Kurta,Mauve,XXL,613,1318,SUP-004,2024-08-27,55
SKU-0106,Mirror work Kurta (Rayon),Kurta,Charcoal,XS,575,1392,SUP-005,2024-09-20,51
SKU-0107,Chikankari Kurta (Mul mul),Kurta,Blush pink,XS,626,1659,SUP-007,2024-09-09,32
SKU-0108,Kalamkari Kurta (Mul mul),Kurta,Blush pink,XXL,592,1492,SUP-002,2024-10-09,113
SKU-0109,Mirror work Kurta (Linen),Kurta,Ivory,XXL,569,1024,SUP-008,2024-11-14,131
SKU-0110,Bagru print Kurta (Chanderi),Kurta,Rust,XL,411,1390,SUP-005,2024-08-31,99
SKU-0111,Ikat Kurta (Cotton),Kurta,Sage green,XS,467,1785,SUP-001,2024-10-30,119
SKU-0112,Kalamkari Kurta (Linen),Kurta,Sage green,XL,491,1269,SUP-003,2024-10-11,62
SKU-0113,Chikankari Kurta (Chanderi),Kurta,Indigo,XL,527,959,SUP-008,2024-11-13,31
SKU-0114,Kalamkari Kurta (Cotton),Kurta,Ivory,XS,433,1270,SUP-008,2024-09-16,67
SKU-0115,Kalamkari Kurta (Linen),Kurta,Indigo,XXL,443,1044,SUP-005,2024-09-30,149
SKU-0116,Block print Kurta (Linen),Kurta,Blush pink,M,486,1537,SUP-009,2024-10-14,130
SKU-0117,Bandhani Kurta (Rayon),Kurta,Mauve,XL,619,1777,SUP-003,2024-10-19,107
SKU-0118,Dabu print Kurta (Cotton),Kurta,Indigo,XXL,411,1081,SUP-003,2024-08-21,67
SKU-0119,Block print Kurta (Cotton),Kurta,Ivory,XS,372,1524,SUP-007,2024-06-28,95
SKU-0120,Bandhani Kurta (Linen),Kurta,Ochre,M,453,1053,SUP-007,2024-10-10,80
SKU-0121,Ikat Saree (Rayon),Saree,Ochre,XS,1353,4235,SUP-001,2024-06-16,130
SKU-0122,Ajrakh Saree (Chanderi),Saree,Mauve,M,1750,4536,SUP-010,2024-08-24,126
SKU-0123,Ikat Saree (Rayon),Saree,Blush pink,L,1941,5053,SUP-008,2024-06-30,44
SKU-0124,Ikat Saree (Mul mul),Saree,Indigo,M,1980,5919,SUP-003,2024-11-13,144
SKU-0125,Kalamkari Saree (Mul mul),Saree,Terracotta,XXL,2115,2993,SUP-006,2024-10-06,101
SKU-0126,Dabu print Saree (Rayon),Saree,Blush pink,XXL,822,3014,SUP-002,2024-08-20,118
SKU-0127,Ikat Saree (Mul mul),Saree,Mauve,XL,1792,3839,SUP-008,2024-09-19,135
SKU-0128,Dabu print Saree (Cotton),Saree,Ochre,M,1808,2803,SUP-008,2024-10-18,70
SKU-0129,Kalamkari Saree (Rayon),Saree,Terracotta,XXL,1578,3992,SUP-004,2024-10-03,83
SKU-0130,Mirror work Saree (Georgette),Saree,Rust,XL,1782,5072,SUP-009,2024-11-17,82
SKU-0131,Kalamkari Saree (Chanderi),Saree,Charcoal,M,1960,5707,SUP-004,2024-09-22,54
SKU-0132,Ajrakh Saree (Silk blend),Saree,Indigo,M,874,2585,SUP-001,2024-07-06,72
SKU-0133,Shibori Saree (Georgette),Saree,Sage green,XXL,1754,3405,SUP-005,2024-06-19,117
SKU-0134,Dabu print Saree (Mul mul),Saree,Indigo,XL,1984,6358,SUP-001,2024-06-21,100
SKU-0135,Mirror work Saree (Linen),Saree,Blush pink,XS,1648,5632,SUP-007,2024-06-23,30
SKU-0136,Bagru print Saree (Silk blend),Saree,Ivory,XL,1964,3189,SUP-008,2024-07-18,48
SKU-0137,Bandhani Saree (Georgette),Saree,Indigo,S,817,2968,SUP-006,2024-09-01,121
SKU-0138,Bandhani Saree (Georgette),Saree,Sage green,XS,1936,4361,SUP-008,2024-06-05,58
SKU-0139,Ajrakh Saree (Mul mul),Saree,Ivory,L,854,3681,SUP-002,2024-07-31,36
SKU-0140,Shibori Saree (Georgette),Saree,Rust,M,2172,5279,SUP-008,2024-09-14,83
SKU-0141,Bandhani Saree (Cotton),Saree,Blush pink,S,1560,5510,SUP-003,2024-09-12,125
SKU-0142,Ikat Saree (Mul mul),Saree,Mauve,XXL,1911,3511,SUP-005,2024-07-21,43
SKU-0143,Dabu print Saree (Georgette),Saree,Ivory,XL,1534,3022,SUP-003,2024-11-11,141
SKU-0144,Ajrakh Saree (Cotton),Saree,Mauve,L,1714,3508,SUP-010,2024-08-28,31
SKU-0145,Ikat Saree (Rayon),Saree,Mauve,XXL,1506,5390,SUP-009,2024-07-01,127
SKU-0146,Bagru print Saree (Cotton),Saree,Terracotta,XXL,1876,5777,SUP-008,2024-08-24,88
SKU-0147,Bandhani Saree (Cotton),Saree,Charcoal,S,927,4968,SUP-009,2024-07-27,132
SKU-0148,Dabu print Saree (Chanderi),Saree,Indigo,XL,2024,3501,SUP-006,2024-11-14,47
SKU-0149,Ikat Saree (Cotton),Saree,Ochre,S,927,6124,SUP-001,2024-10-07,66
SKU-0150,Dabu print Saree (Linen),Saree,Mauve,M,1976,3822,SUP-009,2024-07-24,60
SKU-0151,Shibori Saree (Rayon),Saree,Teal,S,1445,6463,SUP-001,2024-08-12,55
SKU-0152,Ajrakh Saree (Mul mul),Saree,Ochre,M,1780,4881,SUP-001,2024-10-03,80
SKU-0153,Dabu print Saree (Rayon),Saree,Mauve,M,1492,5563,SUP-008,2024-07-26,40
SKU-0154,Bagru print Saree (Silk blend),Saree,Ochre,S,1475,3336,SUP-007,2024-10-10,140
SKU-0155,Ikat Saree (Silk blend),Saree,Rust,L,1463,3985,SUP-001,2024-10-13,91
SKU-0156,Ajrakh Saree (Rayon),Saree,Charcoal,XS,1164,2681,SUP-008,2024-06-17,46
SKU-0157,Dabu print Saree (Cotton),Saree,Teal,M,2040,3138,SUP-003,2024-08-06,143
SKU-0158,Ajrakh Saree (Mul mul),Saree,Rust,XL,2052,6403,SUP-001,2024-08-08,90
SKU-0159,Block print Saree (Georgette),Saree,Blush pink,M,1840,5840,SUP-008,2024-09-24,124
SKU-0160,Mirror work Saree (Cotton),Saree,Indigo,XS,1460,5352,SUP-010,2024-07-23,134
SKU-0161,Chikankari Saree (Cotton),Saree,Teal,S,846,5559,SUP-005,2024-11-08,115
SKU-0162,Kalamkari Saree (Georgette),Saree,Charcoal,M,1049,2590,SUP-008,2024-11-04,143
SKU-0163,Ikat Saree (Georgette),Saree,Rust,S,1626,3700,SUP-010,2024-08-28,132
SKU-0164,Bandhani Saree (Mul mul),Saree,Indigo,M,2096,3382,SUP-005,2024-06-19,72
SKU-0165,Chikankari Saree (Georgette),Saree,Blush pink,XS,1735,6478,SUP-004,2024-08-02,122
SKU-0166,Ajrakh Saree (Cotton),Saree,Terracotta,L,1781,3120,SUP-002,2024-06-30,84
SKU-0167,Chikankari Saree (Rayon),Saree,Indigo,M,1538,5441,SUP-007,2024-10-15,75
SKU-0168,Kalamkari Saree (Mul mul),Saree,Charcoal,L,828,4232,SUP-009,2024-09-17,39
SKU-0169,Ikat Saree (Rayon),Saree,Ivory,XXL,1725,3120,SUP-001,2024-08-07,32
SKU-0170,Ajrakh Saree (Linen),Saree,Mauve,XS,1965,4233,SUP-001,2024-09-11,82
SKU-0171,Dabu print Saree (Rayon),Saree,Mauve,M,1384,3163,SUP-006,2024-07-01,68
SKU-0172,Ajrakh Saree (Cotton),Saree,Teal,L,2142,5615,SUP-004,2024-11-07,88
SKU-0173,Dabu print Saree (Silk blend),Saree,Indigo,XS,2133,3084,SUP-010,2024-07-31,70
SKU-0174,Bagru print Saree (Linen),Saree,Mauve,XL,1552,4753,SUP-006,2024-11-15,76
SKU-0175,Bandhani Saree (Mul mul),Saree,Terracotta,XS,1526,4936,SUP-010,2024-11-09,64
SKU-0176,Block print Saree (Silk blend),Saree,Rust,XXL,1489,3049,SUP-008,2024-09-17,140
SKU-0177,Kalamkari Saree (Chanderi),Saree,Charcoal,M,1912,4576,SUP-009,2024-09-11,96
SKU-0178,Bagru print Saree (Cotton),Saree,Mauve,M,1720,3555,SUP-002,2024-11-09,117
SKU-0179,Bagru print Saree (Silk blend),Saree,Mauve,S,1947,3174,SUP-002,2024-10-11,99
SKU-0180,Kalamkari Saree (Rayon),Saree,Ivory,S,836,5587,SUP-008,2024-10-21,74
SKU-0181,Bandhani Saree (Chanderi),Saree,Rust,S,1023,2517,SUP-008,2024-08-17,120
SKU-0182,Bagru print Saree (Mul mul),Saree,Ivory,M,2112,3485,SUP-009,2024-06-24,42
SKU-0183,Kalamkari Saree (Chanderi),Saree,Sage green,M,1162,4804,SUP-006,2024-08-21,89
SKU-0184,Shibori Saree (Silk blend),Saree,Teal,S,806,2756,SUP-010,2024-09-21,61
SKU-0185,Chikankari Saree (Georgette),Saree,Indigo,L,1162,5708,SUP-002,2024-06-13,107
SKU-0186,Chikankari Saree (Chanderi),Saree,Ivory,XS,1388,4212,SUP-001,2024-11-06,133
SKU-0187,Bandhani Saree (Linen),Saree,Teal,S,2046,3207,SUP-009,2024-09-09,125
SKU-0188,Kalamkari Saree (Rayon),Saree,Ochre,L,1793,6102,SUP-004,2024-06-15,125
SKU-0189,Block print Saree (Mul mul),Saree,Ochre,XS,1283,3465,SUP-010,2024-09-11,147
SKU-0190,Ajrakh Saree (Chanderi),Saree,Sage green,M,1504,2221,SUP-003,2024-07-21,81
SKU-0191,Block print Saree (Linen),Saree,Rust,M,1180,4707,SUP-010,2024-11-11,116
SKU-0192,Block print Saree (Silk blend),Saree,Charcoal,XL,1537,5556,SUP-004,2024-11-14,61
SKU-0193,Bandhani Saree (Cotton),Saree,Blush pink,L,1953,5355,SUP-005,2024-10-27,76
SKU-0194,Mirror work Saree (Silk blend),Saree,Charcoal,XL,1668,6226,SUP-003,2024-08-26,30
SKU-0195,Ajrakh Saree (Rayon),Saree,Rust,XS,1369,6163,SUP-009,2024-06-05,53
SKU-0196,Bagru print Saree (Mul mul),Saree,Charcoal,XS,2094,4455,SUP-005,2024-10-22,37
SKU-0197,Ikat Saree (Georgette),Saree,Rust,XL,1390,3250,SUP-005,2024-09-29,53
SKU-0198,Shibori Saree (Linen),Saree,Teal,XS,1177,5146,SUP-004,2024-06-23,129
SKU-0199,Mirror work Saree (Linen),Saree,Mauve,XL,1320,3216,SUP-002,2024-09-16,117
SKU-0200,Block print Saree (Rayon),Saree,Indigo,XXL,1383,2594,SUP-002,2024-09-15,139
SKU-0201,Shibori Coord Set (Cotton),Coord Set,Ochre,XS,594,1565,SUP-008,2024-10-17,40
SKU-0202,Block print Coord Set (Mul mul),Coord Set,Charcoal,XXL,713,2511,SUP-006,2024-10-08,115
SKU-0203,Ajrakh Coord Set (Mul mul),Coord Set,Ivory,S,591,2072,SUP-001,2024-06-11,62
SKU-0204,Dabu print Coord Set (Linen),Coord Set,Teal,S,732,1988,SUP-006,2024-07-25,132
SKU-0205,Ajrakh Coord Set (Chanderi),Coord Set,Teal,L,589,1521,SUP-001,2024-06-28,133
SKU-0206,Shibori Coord Set (Linen),Coord Set,Charcoal,XS,816,2034,SUP-002,2024-07-07,105
SKU-0207,Chikankari Coord Set (Silk blend),Coord Set,Sage green,L,763,2741,SUP-006,2024-08-26,87
SKU-0208,Bandhani Coord Set (Georgette),Coord Set,Charcoal,L,521,1809,SUP-010,2024-07-14,43
SKU-0209,Shibori Coord Set (Rayon),Coord Set,Rust,S,511,1486,SUP-003,2024-11-06,84
SKU-0210,Chikankari Coord Set (Rayon),Coord Set,Teal,M,737,2779,SUP-002,2024-07-05,99
SKU-0211,Bagru print Coord Set (Cotton),Coord Set,Rust,L,710,2061,SUP-010,2024-10-12,144
SKU-0212,Mirror work Coord Set (Georgette),Coord Set,Ivory,L,534,1844,SUP-001,2024-08-17,123
SKU-0213,Ikat Coord Set (Rayon),Coord Set,Sage green,L,712,1558,SUP-004,2024-10-25,89
SKU-0214,Shibori Coord Set (Mul mul),Coord Set,Terracotta,XL,651,2346,SUP-002,2024-08-14,129
SKU-0215,Ikat Coord Set (Linen),Coord Set,Teal,S,565,1734,SUP-003,2024-06-09,144
SKU-0216,Bandhani Coord Set (Rayon),Coord Set,Indigo,XL,685,2669,SUP-001,2024-07-16,128
SKU-0217,Dabu print Coord Set (Mul mul),Coord Set,Indigo,XL,781,1499,SUP-005,2024-08-23,67
SKU-0218,Bagru print Coord Set (Georgette),Coord Set,Charcoal,L,540,1717,SUP-002,2024-09-19,132
SKU-0219,Shibori Coord Set (Cotton),Coord Set,Indigo,M,825,2568,SUP-005,2024-07-18,34
SKU-0220,Dabu print Coord Set (Silk blend),Coord Set,Ochre,XXL,663,1700,SUP-010,2024-06-20,122
SKU-0221,Shibori Coord Set (Cotton),Coord Set,Mauve,L,765,2243,SUP-008,2024-08-16,72
SKU-0222,Mirror work Coord Set (Mul mul),Coord Set,Charcoal,M,500,1712,SUP-005,2024-09-15,76
SKU-0223,Block print Coord Set (Mul mul),Coord Set,Blush pink,L,703,1564,SUP-006,2024-09-30,137
SKU-0224,Ajrakh Coord Set (Linen),Coord Set,Indigo,XS,750,2356,SUP-005,2024-06-23,49
SKU-0225,Chikankari Coord Set (Silk blend),Coord Set,Ochre,XL,781,2196,SUP-005,2024-11-17,88
SKU-0226,Dabu print Coord Set (Mul mul),Coord Set,Mauve,S,824,2584,SUP-008,2024-11-06,72
SKU-0227,Shibori Coord Set (Georgette),Coord Set,Blush pink,M,625,1616,SUP-002,2024-09-29,52
SKU-0228,Ikat Coord Set (Chanderi),Coord Set,Terracotta,L,793,1550,SUP-007,2024-07-13,37
SKU-0229,Mirror work Coord Set (Rayon),Coord Set,Ochre,S,840,1528,SUP-001,2024-11-10,84
SKU-0230,Ajrakh Coord Set (Chanderi),Coord Set,Ivory,S,618,2641,SUP-008,2024-06-13,76
SKU-0231,Shibori Coord Set (Linen),Coord Set,Sage green,XS,731,1987,SUP-001,2024-09-07,48
SKU-0232,Kalamkari Coord Set (Cotton),Coord Set,Terracotta,XXL,786,2476,SUP-002,2024-10-01,143
SKU-0233,Block print Coord Set (Cotton),Coord Set,Charcoal,XL,691,1974,SUP-009,2024-09-06,146
SKU-0234,Ajrakh Coord Set (Rayon),Coord Set,Ochre,XXL,576,2582,SUP-004,2024-09-11,131
SKU-0235,Bandhani Coord Set (Rayon),Coord Set,Ivory,XXL,518,1796,SUP-006,2024-10-26,100
SKU-0236,Block print Coord Set (Mul mul),Coord Set,Terracotta,XL,588,2124,SUP-003,2024-06-28,89
SKU-0237,Mirror work Coord Set (Chanderi),Coord Set,Rust,XXL,592,1704,SUP-010,2024-10-14,95
SKU-0238,Dabu print Coord Set (Chanderi),Coord Set,Ochre,L,764,2426,SUP-005,2024-08-25,122
SKU-0239,Kalamkari Coord Set (Chanderi),Coord Set,Mauve,L,653,2064,SUP-004,2024-11-06,44
SKU-0240,Mirror work Coord Set (Linen),Coord Set,Indigo,L,542,2343,SUP-005,2024-08-23,52
SKU-0241,Kalamkari Coord Set (Mul mul),Coord Set,Charcoal,L,606,2414,SUP-003,2024-08-30,44
SKU-0242,Mirror work Coord Set (Silk blend),Coord Set,Indigo,XXL,823,2188,SUP-004,2024-06-30,141
SKU-0243,Bandhani Coord Set (Chanderi),Coord Set,Sage green,XXL,872,1893,SUP-002,2024-10-22,31
SKU-0244,Shibori Coord Set (Linen),Coord Set,Teal,L,576,2043,SUP-010,2024-08-20,68
SKU-0245,Bagru print Coord Set (Cotton),Coord Set,Terracotta,XL,896,1558,SUP-010,2024-09-08,85
SKU-0246,Chikankari Coord Set (Linen),Coord Set,Ivory,L,535,2507,SUP-008,2024-07-23,74
SKU-0247,Chikankari Coord Set (Linen),Coord Set,Ochre,XL,861,1958,SUP-006,2024-07-18,121
SKU-0248,Dabu print Coord Set (Chanderi),Coord Set,Charcoal,XL,892,2449,SUP-010,2024-11-09,101
SKU-0249,Dabu print Coord Set (Silk blend),Coord Set,Mauve,L,651,2119,SUP-002,2024-09-30,53
SKU-0250,Ajrakh Coord Set (Silk blend),Coord Set,Sage green,S,518,2483,SUP-001,2024-08-21,84
SKU-0251,Bandhani Coord Set (Mul mul),Coord Set,Indigo,XS,741,1980,SUP-007,2024-09-30,50
SKU-0252,Bandhani Coord Set (Mul mul),Coord Set,Teal,M,649,2204,SUP-010,2024-06-28,102
SKU-0253,Ajrakh Coord Set (Silk blend),Coord Set,Teal,XL,577,2500,SUP-002,2024-06-18,96
